id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	duels
64429	1	"64429-voidtouched-attendant"	6	[]	4	1578	4	"Konstantin Porubov"	3	1	1	"공허에 물든 수행원"	"각 영웅이 받는 모든 피해가 1씩 증가합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/472daa269f16565caca3ae15d22c5aadd0356cb5e754c394c92e53d869676ac9.png"	""	"공허에 함부로 손대지 마십시오. 무슨 일이 벌어질지 모릅니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f89dc8e6154ca6994ce6a179797e39b2eb7f830c9042b26e0c73a3edbbf66142.png"	{"relevant":true,"constructed":true}
38895	1	"38895-the-boogeymonster"	12	[]	4	21	5	"Alex Horley Orlandelli"	7	6	8	"괴물"	"이 하수인은 공격하여 다른 하수인을 처치할 때마다 +2/+2를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b675a07571eb0fe1e33934db9d094bc9e713a7d4a09a9a7b38d9f823e4620e7e.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d4dd5121fc88099245936e6803531ed7dd8d0421e34a645ccc8fb969d6030c9f.png"	"불멸자도 가리지 않고 잘 먹지만, 소화 불량에 걸리는 경우가 많다고 하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0fa6092443225ceae36756d8c13928cfcec624a9f468547b2232f866438341b1.png"	{"relevant":true,"constructed":true}
768	1	"768-gurubashi-berserker"	12	[]	4	1635	2	"Alex Horley Orlandelli"	8	2	5	"구루바시 광전사"	"이 하수인은 피해를 받을 때마다 공격력을 +3 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/51f2c7e6ae21c578ff061ba584b8435176dbb57e9852fa4046931627090b790c.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d203db48182599bd9a6990c4e1267239bfff457e2ef474f94793aa0c3ea40b7.png"	"아픈 만큼 성숙하는 법입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1798fc5d3d3845bee1d10542caf946d709a08539898356ca95a9b6d1e45b9a83.png"	{"relevant":true,"constructed":true}
526	1	"526-gruul"	12	[]	4	3	5	"Kev Walker"	7	7	8	"그룰"	"각 턴이 끝날 때, +1/+1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a6b5080a83999a4beb87cf2a909c500571d6143e3386474ec8f9fff24290f563.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e3efb88ac9c0cc7e4ced063a62ec6631291320a1cb2ba31144d9f7331c417004.png"	"그룰은 \"용 학살자\"입니다만, 사실 용들을 꼭 안아주고 싶었을 뿐입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6a591f634dfb8848dfeabcb8b70407766054577998a471818378a23f93d9740e.png"	{"relevant":true,"constructed":true}
38522	1	"38522-eldritch-horror"	12	[]	4	21	1	"Mike Sass"	10	6	8	"기괴한 공포"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/286ae4596c25e820e12123948267a04f423fcf68f63c49d1c0d4e151a3a1f0c5.png"	""	"'기괴한 공포'라는 이름이 붙지 않았으면 다른 삶을 살았을지 궁금하군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/61df26a28660394c98879ebffa8bc3f07db8670947004364088c99c731029675.jpg"	{"relevant":true,"constructed":true}
67886	1	"67886-flag-runner"	14	[]	4	1626	1	"Vladimir Kafanov"	6	1	3	"깃발 질주자"	"아군 하수인이 죽을 때마다 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4a42f0840734c70fa592bb070838b6186b25adceca043de4af5597c3a861ffa7.png"	""	"무슨 말을 하고 싶은지는 알겠는데... 깃발은 갖고 있는 건가요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/154df3c163a49ae5be402b0c20182a593cea061f7d17c39fa0e48fb9796f5505.png"	{"relevant":true,"constructed":true}
70241	1	"70241-irondeep-trogg"	12	[]	4	1626	3	"Konstantin Turovec"	2	1	1	"깊은무쇠 트로그"	"상대편이 주문을 시전한 후에, 다른 깊은무쇠 트로그를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c359a93cc99ee9eb204d318a3cea4b077003b3cca1e74b54d463787b46b88e87.png"	""	"선풀 멈춰!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d8ed22106d1b3b1e6de6d7b284c74f9192266d0644505ef560915860f8b0d0d1.png"	{"relevant":true,"constructed":true}
64708	1	"64708-florist"	12	[]	4	1578	1	"Kagi "	3	2	2	"꽃 상인"	"내 턴이 끝날 때, 내 손에 있는 자연 주문의 비용이 (1) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bc32a8d440de063f5b93a9fb95dd6a84b00ddce3aeb54a0976d3372fbad3ddfd.png"	""	"이 꽃은 전설 카드처럼 노란색이고요, 저 꽃은 특급 카드처럼 보라색이에요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/df026d84183e85290e8d4836396f70734db578f8a6540f2ba0d684ce0dfc0548.png"	{"relevant":true,"constructed":true}
61642	1	"61642-nazmani-bloodweaver"	6	[]	4	1466	3	"Slawomir Maniak"	5	2	3	"나즈마니 혈매듭꾼"	"내가 주문을 시전한 후에, 내 손에 있는 무작위 카드의 비용이 (1) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a53fe9bf70ad970d951dfaa82b68e72888a05a59386a558b93bcfb070f93f0aa.png"	""	"똑같이 빨간 망토를 두르고 손으로 원을 그리고 있지만, 차원문은커녕 케첩 냄새만 솔솔 납니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9a1f8423c3337500bb5d1c293d8fdd5c8da1869e36985f07f9f9aca31a9b616d.png"	{"relevant":true,"constructed":true}
61625	1	"61625-optimistic-ogre"	12	[]	4	1466	1	"Mike Sass"	7	6	5	"낙천적인 오우거"	"50%의 확률로 올바른 적을 공격합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ed99082847b40fb6affeed8fa67da349815bdbfd132e2539f6e43057e6819c0a.png"	""	"\"맞힐 듯 말 듯 해서 맞히려 했는데 못 맞힐까 봐 안 맞히려 했더니 맞혀버리면 어떡하지?\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/34777a731b0d1d81dac130ff0723673eebb5908816bd2e03de9148617f818a8c.png"	{"relevant":true,"constructed":true}
1147	1	"1147-nat-pagle"	12	[]	4	3	5	"Steve Prescott"	4	0	2	"내트 페이글"	"내 턴이 시작될 때, 50%의 확률로 카드를 1장 더 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/432fc86dd73d862477668a39a620e66a58e67ba189810c1907eae4ec1899ba4c.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f004622671a713f444167ce8deffb0f0310783ee9f999d17e1a468be4d1842cd.png"	"아제로스 최고의 낚시꾼, 내트 페이글입니다! 그는 강태공 도우미 3000, 낚싯대 연장기 3000, 그리고 물고기 떼 생성기 2099(아직 시험 중)를 발명했습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aec38a3ff1aa6ed41d7b02416111c83beba272036fd4a7d1fc0b068688471872.png"	{"relevant":true,"constructed":true}
42791	1	"42791-nerubian-unraveler"	12	[]	4	1001	4	"Lars Grant-West"	5	5	6	"네루비안 해결자"	"주문의 비용이 (2) 증가합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/56cb273102d9a538734f130c21d4c25881abd294a5edab09c438ae17c17ca03b.png"	""	"범인은 이 안에 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9ca21a7b7c95531b52890c0f5a3397a6ef848aa7ebf2458b0035d86eedd709c7.png"	{"relevant":true,"constructed":true}
53883	1	"53883-neferset-thrasher"	9	[]	4	1158	1	"Eric Braddock"	5	4	3	"네페르세트 난동꾼"	"이 하수인이 공격할 때마다 내 영웅에게 피해를 3 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f03647e9a7fbe8bd650be91a093e8840e2866d2330b584bdb33454461689a503.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/36da2853a3917419ae2ea52be912903953fd18f71f0993939f7b506a21cb48f5.png"	"난동꾼 앞에서는 너도 한 방, 나도 한 방."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7b7ea8184e84b884ebe4b6fb112d00ad2a72dc30dd118d5fdbcfc25649ac43ba.png"	{"relevant":true,"constructed":true}
64372	1	"64372-peasant"	12	[]	4	1578	1	"Dave Greco"	1	2	1	"농부"	"내 턴이 시작될 때, 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ae36236bb3f7492e0760a55514e9b6d980fd4433f96e5ea31902a4363f360d27.png"	""	"돈을 주지 않는다면 데피아즈단에 들어가고 말 거예요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1c2498fe3ce8ac0fff3ff4a532a051429f84676b1e6efba24849e1dae6e3c180.png"	{"relevant":true,"constructed":true}
1073	1	"1073-knife-juggler"	12	[]	4	3	3	"Matt Cavotta"	2	3	2	"단검 곡예사"	"내 하수인이 소환된 후에, 무작위 적에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a97f00546fd7da010741a08dfbd6f956a4df50f2cdfedf4d992caf5d8f828aa5.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cd5c790af8e7d4841f6718325d81fefc13a23ec585323cd120068c43b7260f4e.png"	"야심찬 단검 곡예사가 자라면 폭탄 곡예사가 되기도 합니다. 하지만 카드로 만들어질 만큼 오래 살아남는 경우는 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6d1043efe923e40e8b0a0559996f0df5bf08a5ef3799b32dbb7a60541079a819.png"	{"relevant":true,"constructed":true}
53929	1	"53929-high-priest-amet"	6	[]	4	1158	5	"James Ryman"	7	2	4	"대사제 아메트"	"내가 하수인을 소환할 때마다 그 하수인의 생명력을 이 하수인과 동일하게 바꿉니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a7165d88dec2645bc053c76dc0cdfa6dc36db2b88b828a3ba5c6e88d6c1eb1a0.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8346ec750ae920c8d163f65a87f407427b29c9230b4fea7ef68089051d4a8d91.png"	"복사만 하세요, 복사만 하세요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/751db862459efa63494a0fe87a0d7418cd4eff04bcebc08b4c4bbb593cbae5df.png"	{"relevant":true,"constructed":true}
46442	1	"46442-geosculptor-yip"	10	[]	4	1004	5	"Mike Azevedo"	8	4	8	"대지조각가 이프"	"내 턴이 끝날 때, 내 방어도와 같은 비용의 무작위 하수인을 소환합니다. <i>(최대 10)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/76881a8e71bf677e684255d5660d4226bcf42478934e5b42af898158b9f96ee4.png"	""	"저 건틀릿은 99%의 귀지와 1%의 열정으로 만들어졌습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ac96e2a61f9ea0c245d17a3dd5b6908f356cda0a242aabdb6ea9abda1bc86488.jpg"	{"relevant":true,"constructed":true}
43489	1	"43489-toothy-chest"	12	[]	4	1004	1	"Jakub Kasper"	4	0	3	"덥석 상자"	"내 턴이 시작될 때, 이 하수인의 공격력을 4로 만듭니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0989ce742d4e7dbcf481e145657261d96e9f052ccc10e6335e168ecdf1e3f8a7.png"	""	"똑 똑똑 똑똑~ 같이 모험가 먹을래?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/47e929ff43fcd7b68b191d90e755f4b4a540eb061887b6d48a4443cc92d2da0e.png"	{"relevant":true,"constructed":true}
1686	1	"1686-boulderfist-ogre"	12	[]	4	1635	2	"Brian Despain"	7	6	6	"돌주먹 오우거"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ecbddb11f9350e6510c09e038aa37e9570f7cb733e9b0b7328ae5254f722df1a.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a2f580a56a92860a4a7acf81ae22193fe59e522c286ab47d9d498b54110bdae5.png"	"\"나, 비용에 비해 능력치 좋다!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d6440240b8cd07b88906d622969bf2a21547851865dd6b1840360121e4b9f90b.png"	{"relevant":true,"constructed":true}
64357	1	"64357-two-faced-investor"	12	[]	4	1578	3	"Andrew Hou"	4	2	3	"두 얼굴의 투자자"	"내 턴이 끝날 때, 내 손에 있는 카드의 비용이 (1) 감소합니다. <i>(50%의 확률로 비용이 증가합니다.)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/650a8b205d129a0a90520dc46f4661ff4b86399a6fe9f86e567c6ca3619ecd71.png"	""	"\"공동투자는 하지 말 걸 그랬어...\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d6e0b3c65ffea72310e7d57040a7c9405106a5e501e3b5e48fa0a126faed95af.png"	{"relevant":true,"constructed":true}
45309	1	"45309-drakkari-enchanter"	12	[]	4	1001	4	"Steve Prescott"	5	1	3	"드라카리 마법부여사"	"턴이 끝날 때 발동하는 내 효과가 2번 발동합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8d33fbda2bbe036a21bc2d21327827a87688046a1a8c7b40b2e93a38697a8151.png"	""	"드라카리 마법부여사들은 말 끝을 언제나 반복합니다. 언제나 반복합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/36634c8ac30778ff0dbf0d8195285c32df67e5ac8c602e2946d07fcd374c61ce.png"	{"relevant":true,"constructed":true}
78142	1	"78142-anima-extractor"	10	[]	4	1691	1	"Slawomir Maniak"	4	1	2	"령 추출자"	"아군 하수인이 피해를 받을 때마다 내 손에 있는 무작위 하수인에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ca9170d56138f7a902d4f750d959bdf4d88a28c7e93d06436608cf4c156b868d.png"	""	"령 추출이 다 끝났으면, 부식 드신 다음에 기념품도 받아가세요. 감사합니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/17e2f4a5e25c3405d0917a56637bbf913f33085193c88d412bd363c61d766fdd.png"	{"relevant":true,"constructed":true}
64199	1	"64199-lothar"	10	[]	4	1578	5	"Zoltan Boros"	7	7	7	"로서"	"내 턴이 끝날 때, 무작위 적 하수인을 공격합니다. 그 하수인이 죽으면, +3/+3을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/eecc52500d3887176899c3b4b445ac3bc7e5cc1f84091659e8d5c347bc64e987.png"	""	"기계 성기사가 뜨기 전부터 성기사였습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d50025fdb3b93e6e0e6aa35c98e6eadb28e2e66f0246e39884089aee1ea49171.png"	{"relevant":true,"constructed":true}
715	1	"715-mana-wraith"	12	[]	4	3	3	"Luca Zontini"	2	2	2	"마나 망령"	"<b>모든</b> 하수인의 비용이 (1) 증가합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cbd9698d2eaf05207c5dbc8a8d06d4e471d69f75de37c804edf5cc95bb14e8d0.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f74631b3f0ccd2dce3ac73248e590441464425330a2ea5cf3cf2fcbc025d90d6.png"	"이들은 밤에 나타나 남은 마나 수정을 먹습니다. \"으으으음...\" 소리를 내곤 하지요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3782f74033b331f62a3f1d751cb60c3f01027c89875e5ba5071602b4d43706f5.png"	{"relevant":true,"constructed":true}
12	1	"12-mana-addict"	12	[]	4	3	3	"Hideaki Takamura"	3	1	2	"마나 중독자"	"내가 주문을 시전할 때마다 이번 턴에 공격력을 +2 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d8df13a5e95afcfe6312a838e145ef22e1ce126e31d83bc889343391bbafa555.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5cd41fe1030f36fe687aa8b227c1c3083c22f565938c5fbff9b664b898381dbd.png"	"끊으려고 노력하는 그녀지만 스트레스 받은 날에는 참기 힘들답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/99695fd6f2433f7c383e7b2df2a538e112edaa869672b8f6580278c29e3075d4.png"	{"relevant":true,"constructed":true}
405	1	"405-mana-wyrm"	4	[]	4	3	1	"Blizzard Cinematics"	3	1	1	"마나 지룡"	"내가 주문을 시전할 때마다 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4b8dc372f1d955436f03e51cfed9e593f141c26ccb261bc49874cb7c1aa4ac16.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5569b02471195296541aac75b50d99e746cb570cea55e6b48112e5019f4d157f.png"	"이 지룡들은 비전 에너지를 먹고 삽니다. 이들은 큰 위협이라기보단 좀 귀찮은 존재일 뿐이지만, 절대 마나 곁에 혼자 두진 마십시오."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ee380852ca68a222b745a3f1d6d2d6cbdd9fd807ee76df50820c229e2b8c413d.png"	{"relevant":true,"constructed":true}
85621	1	"85621-enchanter"	12	[]	4	1776	4	"Tyler James"	3	3	3	"마법부여사"	"내 턴에 적 하수인이 받는 피해가 2배 증가합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7dc990a4ebb932f3b9aec78f004858c80c114bc7b2897be1de895cdfde9822bc.png"	""	"스컬지 파멸 배움! 대리 제작 해드림!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2054b9fa5f8104a01beaf3d55dba7551c6a948e15e8ab90eb2cb6f00f6aaa9af.png"	{"relevant":true,"constructed":true}
84426	1	"84426-magisters-apprentice"	4	[]	4	1776	1	"Vladimir Kafanov"	2	3	2	"마법학자의 조수"	"내 비전 주문의 비용이 (1) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/971bd5db997e6359ef2d31f5cc3e617af7aab38a005641728000b1043d7d2e1a.png"	""	"\"이런 일을 하게 될 줄 알았다면 공부 말고 취직이나 할걸...\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f69543e74efed3769bcf0b73a3f6871dd9b83325e167b6eb7845685e17b1f573.png"	{"relevant":true,"constructed":true}
