id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds	duels
63398	1	"63398-mutanus-the-devourer"	12	[]	14	4	1525	5	"Matt Dixon"	4	4	7	"걸신들린 무타누스"	"<b>전투의 함성:</b> 상대편의 손에 있는 하수인을 잡아먹고 그 하수인의 능력치를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0a590d09336c097cd2856ddb2e6100244e77a3c3bf5f847f7837295b9ab539cf.png"	""	"이불 속에 있는 한, 나랄렉스는 무타누스로부터 안전합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/afacbb1723b32f22b2d2c408ab44001ecbcc8e7ed829b8c0e514a46a247e5dc4.png"	[8]	{"relevant":true,"constructed":true}
84248	1	"84248-walking-dead"	9	[]	11	4	1776	1	"Mooncolony "	5	2	3	"걸어다니는 시체"	"<b>도발</b>, 이 하수인을 버리면, 이 하수인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b17ef2529b688f306d5dadfd67b7dc814969268e7df9a460ebf2e257ecff9818.png"	""	"스컬지를 조심해, 카아아아알!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e100d40e366de62208e50307ac908cc03c11964e8509f5a026e7b7c63d9b91b1.png"	[1]	{"relevant":true,"constructed":true}
79598	1	"79598-prosecutor-meltranix"	14	[]	15	4	1691	5	"Rafael Zanchetin"	6	2	4	"검사 멜트라닉스"	"<b>전투의 함성:</b> 다음 턴에 상대편이 가장 왼쪽과 오른쪽에 있는 카드만 낼 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0d74df19df4c4aa300073d116d9674a2ad229cd072b082c81414f54f19f95cea.png"	""	"\"존경하는 재판장님, 피고의 주장은 모두 신빙성이 떨어집니다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e67043cfe5a5ee21a4a72cd511b994d493711a97cd52bbce6ea565d52f190137.png"	[8]	{"relevant":true,"constructed":true}
61622	1	"61622-prize-vendor"	12	[]	14	4	1466	1	"Hideaki Takamura"	3	2	2	"경품 상인"	"<b>전투의 함성:</b> 각 플레이어가 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1a4cf7eb5344296e29062cfe3675ff02d62bdf125b71c0c5526378920daea387.png"	""	"그저 임무를 수행하는 것뿐입니다. 위조된 표는 딸기 맛이 나지 않거든요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/962e71390adf9113ea0132392f49d41834f085632cd7583103dafcc86d40d2a5.png"	[8]	{"relevant":true,"constructed":true}
61171	1	"61171-prize-plunderer"	7	[]	23	4	1466	3	"Paul Mafayon"	1	2	1	"경품 약탈자"	"<b>연계:</b> 이번 턴에 앞서 낸 카드의 수만큼 하수인에게 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/eda0c660b0bb1dbd8e7e2a87836056122a47a5b5e8f6ac039820c71a92bd477e.png"	""	"아무리 경품을 훔쳐봤자, 아이들의 소중한 추억마저 훔치진 못합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e136841ebe836b653e46ccf4751f730e254d804579e8d128c40dbf4e2f3d77a0.png"	[13]	{"relevant":true,"constructed":true}
42596	1	"42596-acolyte-of-agony"	6	[]	11	4	1001	1	"Brom"	3	3	3	"고뇌의 수행사제"	"<b>생명력 흡수</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c4bbb4901d8cd054c241cd491ab5b02aff2e8eed0c024d3804d31de8676accc5.png"	""	"수년에 걸쳐 고뇌를 통달한 자들만이 선발됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5e341db43b444b9bc80d45a24c5c9acf8aa739d2924874de15860a1f31e0196f.png"	[38]	{"relevant":true,"constructed":true}
39210	1	"39210-book-wyrm"	12	[]	24	4	23	3	"Dave Allsop"	6	3	6	"고룡 독서가"	"<b>전투의 함성:</b> 내 손에 용족이 있으면, 공격력이 3 이하인 적 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0b13875e0424cb66cb0be601705ec6d7d9c64a79d1cd0e2cae5a3f5cfe6813d3.png"	""	"\"호빗\"이나 \"그렌델\" 같은 고전 비극을 즐겨 읽습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/30a0e9575261f729d3f17786b2ceacbffc13d4af814f69805c1f0320c30f7663.jpg"	[8]	{"relevant":true,"constructed":true}
46403	1	"46403-zola-the-gorgon"	12	[]	92	4	1004	5	"Sean McNally"	2	2	3	"고르곤 졸라"	"<b>전투의 함성:</b> 아군 하수인을 선택합니다. 그 하수인을 황금 카드로 복사하여 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b3a1367d0b1dd3c7069a994223f0098d73c2c1a48bb37e116396c69d21f3ae12.png"	""	"이름에서 맛있는 냄새가 납니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f90817362b43bda91e75346d52a0056154851e7ae571eab9e9f173e7593fbc57.png"	[8]	{"relevant":true,"constructed":true}
64363	1	"64363-loan-shark"	7	[]	20	4	1578	1	"Jakub Kasper"	4	3	3	"고리대금상어"	"<b>전투의 함성:</b> 상대편에게 동전을 줍니다. <b>죽음의 메아리:</b> 동전을 2개 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/977674bc149aaff5669e0e41442ae5dfdf3411e4840e703e96afbe10310c7cc7.png"	""	"돈이 없으면 몸으로라도 때워야지!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/76b88e17da607acf7e45d0e655bb71b8471a040cd6a9c2f45d23643e3ce14fd8.png"	[8,12]	{"relevant":true,"constructed":true}
1988	1	"1988-goblin-auto-barber"	7	[]	17	4	13	1	"Zoltan Boros"	2	3	2	"고블린 자동 이발기"	"<b>전투의 함성:</b> 내 무기에 공격력을 +1 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4bce55d16615e852c77c8f6b5cadae747bca2d4683afc660918dbf078adc2944.png"	""	"고블린이 아니라면 고블린과 키가 똑같아질 수도 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e356e4fb4c9e89a866cf92e78bfe1768fc3a6e738946dddd378ebbf3b0de5bed.jpg"	[8]	{"relevant":true,"constructed":true}
2172	1	"2172-queen-of-pain"	9	[]	15	4	13	3	"Mike Sass"	4	1	2	"고통의 여왕"	"<b>생명력 흡수</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/af38ff1522dc979b04fc63b5830a51440868b81f6b52ab39c16c5a9379427f9a.png"	""	"네 고통이 곧 내 기쁨일지어다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/99138447337db4ac92dbbf2a72aadb807eb1fcd34836eb5ac31f30a477fc0c37.jpg"	[38]	{"relevant":true,"constructed":true}
41316	1	"41316-golakka-crawler"	12	[]	20	4	27	3	"Peter Stapleton"	3	2	2	"골락카 거대게"	"<b>전투의 함성:</b> 해적을 처치하고 +1/+1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c7472bfce8c7775fc0a95b961e691df3da96759f2574be2f3deef02ddcaadf7e.png"	""	"컨트롤 덱과 닌자 덱에서 널리 쓰이고 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b6e24387e022b6d9cb7eacf2b324d05bc272fda4382cbf55603fdeef3f663429.jpg"	[8]	{"relevant":true,"constructed":true}
65702	1	"65702-golakka-glutton"	12	[]	23	4	1578	1	"Wayne Wu"	3	2	3	"골락카 조리사"	"<b>전투의 함성:</b> 야수를 처치하고 +1/+1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ca49022192c59d900fc1f130a36296993876e7dbd104d85c73b1e653080657b3.png"	""	"저 게 때문에 우리 조리사 한 명을 잃었었지."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a2ed2a894382e5fa240290405353e1add1f7b141ba93363aa859173e5445c9c9.png"	[8]	{"relevant":true,"constructed":true}
72021	1	"72021-gorloc-ravager"	12	[]	14	4	1658	1	"Mike Sass"	3	4	5	"골록 약탈자"	"<b>전투의 함성:</b> 멀록을 셋 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/30a487cc424a45859f17016b0ac7ea3a448f44e8bddacdac6d7e3db913762307.png"	""	"낚을 상대를 잘 보면서 낚으세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a151a392b18e2535a11a78d4d98ca396647865eab89d2542ee6ac6935b6d865a.png"	[8]	{"relevant":true,"constructed":true}
67757	1	"67757-hollow-abomination"	9	[]	11	4	1626	1	"Dave Allsop"	8	2	5	"공복의 누더기골렘"	"<b>전투의 함성:</b> 모든 적 하수인에게 피해를 1 줍니다. <b>명예로운 일격:</b> 그 하수인의 공격력을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/76e604677a3c21aab092e67fe55d9aa12dd58ad67b023295d989d88ccfaece51.png"	""	"명예로운 일격을 향한 피할 수 없는 끌림!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/48400b004cfc786b575e136026d962546f550cdbdb2915b4115aa610d16385c5.png"	[8,100]	{"relevant":true,"constructed":true}
54835	1	"54835-siegebreaker"	9	[]	15	4	1635	3	"James Ryman"	8	5	7	"공성파괴자"	"<b>도발</b>, 내 다른 악마들이 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6b1972c0a3ea5ea93152fced3795256d8a1f31bcd463416f6c2cf2dd7933dd43.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ffc50695e3ddbc5c744c5e6bd06c7e983a65ca4ca87266028d9acf84e85ee673.png"	"네팔렘들을 피해 온 걸까요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a8dd85bb537b0e0004dd38372c57bf2c441149e1638d774a56a8863c37aac65b.png"	[1]	{"relevant":true,"constructed":true}
64337	1	"64337-park-panther"	2	[]	20	4	1578	3	"Luca Zontini"	4	4	4	"공원 표범"	"<b>속공</b>, 이 하수인이 공격할 때마다 이번 턴에 내 영웅에게 공격력을 +3 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ee77470feea7921d9a69f0c88d4ab32c4fda23af10ec34afc2a7673fad9a9cdf.png"	""	"공원 표범을 포획하려고 엽사들을 불렀지만, 아무 소용 없었습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fa8f80ed1049cad787186dca495e4370e67dbd6e501cec9d0e5e7fc4f0a82a85.png"	[53]	{"relevant":true,"constructed":true}
45342	1	"45342-prince-valanar"	12	[]	11	4	1001	5	"Arthur Bozonnet"	4	4	4	"공작 발라나르"	"<b>전투의 함성:</b> 내 덱에 비용이 4인 카드가 없으면, <b>생명력 흡수</b>와 <b>도발</b>을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8f0e27ec783304267e4dd6c5ec30ea4bcfd18dccd81c7caac8e149fabb4a7dbc.png"	""	"세 명의 공작이 당신 앞에 섰습니다. 이 공작은 다른 이들을 잡아먹으려고 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e3992d77ee357472fd4677e1863685ec1e6a67771289455e27f88b4891f01898.png"	[1,8,38]	{"relevant":true,"constructed":true}
45340	1	"45340-prince-keleseth"	12	[]	11	4	1001	5	"Vladimir Kafanov"	2	2	2	"공작 켈레세스"	"<b>전투의 함성:</b> 내 덱에 비용이 2인 카드가 없으면, 내 덱에 있는 모든 하수인에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/482529626fe0fedf0de94b4e1c15b67b3528ffe7c5c6271caab38fb29c0d730e.png"	""	"세 명의 공작이 당신 앞에 섰습니다. 이 공작은 형제들을 강화하려고 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7ad7f741b4788dce3ddea56b48ad11f2fe175bcb8f5d84d4e7c74fd35ff34b69.png"	[8]	{"relevant":true,"constructed":true}
45341	1	"45341-prince-taldaram"	12	[]	11	4	1001	5	"Arthur Gimaldinov"	3	3	3	"공작 탈다람"	"<b>전투의 함성:</b> 내 덱에 비용이 3인 카드가 없으면, 선택한 하수인으로 변신합니다. 능력치는 3/3이 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4511dcfc62df97bf7e506e73e2cc816a37a4682b5c9fa5b5675024967d8b56c8.png"	""	"세 명의 공작이 당신 앞에 섰습니다. 이 공작은 다른 이들을 닮으려고 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c84a95f608a5167fe9fee6a3fbc6506f9c7161f88e5ad46a172d719d92b671b4.png"	[8]	{"relevant":true,"constructed":true}
38910	1	"38910-princess-huhuran"	3	[]	20	4	21	5	"Jaemin Kim"	5	6	5	"공주 후후란"	"<b>전투의 함성:</b> 아군 하수인의 <b>죽음의 메아리</b> 능력을 발동시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/66b1a2f0f95ae3d9efa85fd2d6ded5b2f8d33cdb54636f002d400fedca995a65.png"	""	"언젠가는 인자한 왕자가 나타나 함께 수천 개의 알을 낳기를 바라며 오늘도 안퀴라즈를 날아다니고 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0eebfeb8e4dca4dcfe88c11a9ae982f8a77a66f60dd616ef28a5ef240a6a5025.jpg"	[8,12]	{"relevant":true,"constructed":true}
1019	1	"1019-dread-infernal"	9	[]	15	4	1635	2	"Zoltan & Gabor"	6	6	6	"공포의 지옥불악마"	"<b>전투의 함성:</b> 다른 <b>모든</b> 캐릭터에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/26d1a101c67abf09cd7ba58324dffd8f1ebe768935809218698c13cedd891762.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8666ddf8ec516e31534f25477f87b0cba18c2c54786b3bedd0693326b914b5c0.png"	"\"지옥풀을 받아라!\" - 불타는 군단의 에레다르 군주, 자락서스"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/10729498eaa34d6f623fcda0a4d7bd9ec06a78080c3681c881f6f456283ea3d8.png"	[8]	{"relevant":true,"constructed":true}
878	1	"878-dread-corsair"	12	[]	23	4	3	1	"Trent Kaniuga"	3	3	4	"공포의 해적"	"<b>도발</b> 내 무기의 공격력만큼 비용이 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fc2a6ab0aa59ed039909eb8954c15700a9c3c4cd4568b9d5102d05f20f943818.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7c98bd645704c703e609d35d9b43bd86f733278ca5f5ab005f9615bb037a5074.png"	"\"야아아르\"는 해적 말로 \"안녕하십니까\"라는 뜻입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7d555b43ade54991a942b5b6ff73e41cec11533410c934f5d3d32dcae65b10e3.png"	[1]	{"relevant":true,"constructed":true}
62871	1	"62871-void-flayer"	6	[]	11	4	1525	3	"Jakub Kasper"	4	3	4	"공허 약탈자"	"<b>전투의 함성:</b> 내 손에 있는 주문 하나당 무작위 적 하수인에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5521d944a92e128eaf6615162466aad47aafe7b48f9c53d0414ef48ed3744bcb.png"	""	"공허도 농작물처럼 서리를 한다네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a93a7ca74d2f06be498714aa2de9306dfda543c4a67ee7b593d4d6aba3dd1fd.png"	[8]	{"relevant":true,"constructed":true}
46461	1	"46461-void-ripper"	12	[]	15	4	1004	4	"Slawomir Maniak"	3	3	3	"공허 학살자"	"<b>전투의 함성:</b> 다른 <b>모든</b> 하수인의 공격력과 생명력을 바꿉니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/086122c42db1cc60b5d34b5820cbfea664b08dc21ed3086f09ff59d12495b948.png"	""	"무한 확장의 가방에 휴대용 구멍을 넣으면 큰일 납니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/953d4ae7d824c4693d15e891bb8184c4b23a8c4e1da939be7fc400de62c0eba5.jpg"	[8]	{"relevant":true,"constructed":true}
48	1	"48-voidwalker"	9	[]	15	4	1635	2	"Alex Horley Orlandelli"	3	1	1	"공허방랑자"	"<b>도발</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6ac49d81b599cb3954e36ead6b64d9d199e9f0d205f1b4ffa3eec2dc67f5de3d.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6d08002e4c1c30e793bf3142c4b43d96bbf9c5ce88ea26c8f8756994ded3d3ae.png"	"내 이름은 보이드. 별명은... 몸빵."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5ea7aa02da033e55cc8a7ac70e8336369702bc5990b9967c004ce4e8661e94f3.png"	[1]	{"relevant":true,"constructed":true}
1806	1	"1806-voidcaller"	9	[]	15	4	12	1	"Robb Shoberg"	4	3	4	"공허소환사"	"<b>죽음의 메아리:</b> 내 손의 무작위 악마를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e281046ce8cfe29f8ff18f7b4c4f7265f270585d2b85427f5f41d54cb95ee0f2.png"	""	"산 자와 죽은 자들의 세계를 이어줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c38c865cb6437b5855309f980e0ffae6053aee34b6457e97c070054f54fdf480.png"	[12]	{"relevant":true,"constructed":true}
71924	1	"71924-voidgill"	9	[]	14	4	1658	3	"Juyoung Oh"	2	3	2	"공허아가미"	"<b>죽음의 메아리:</b> 내 손에 있는 모든 멀록에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/42b983cc6474edb8ec0a47f1b03b68479a280a9ce4d690c4b6bb3fd4e56745f2.png"	""	"심연을 들여다본다면, 심연도 우리를 들여다본다 합니다. 만약 평생동안 심연을 들여다봤다면 어떤 일이 벌어질까요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/516f9269df6a4bbd472a5cbce603af52bf5fee9a7b0a8b55532eceb98deae9a6.png"	[12]	{"relevant":true,"constructed":true}
