id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	manaCost	name	text	image	imageGold	flavorText	cropImage	parentId	childIds
39117	1	"39117-khadgar"	4	[]	3	17	4	null	30	0	"카드가"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d10ad50c7177c10f74cf77f50e1b76ada367d96b7ba79032aecd95b31862d966.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	637	[39791,807]
57765	1	"57765-fire-mage-jaina"	4	[]	3	17	2	null	30	0	"화염 마법사 제이나"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/757773a1bccabed62b9d4b486b7785adad98b3859e06c98c2cf2c1295ce58b3d.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	637	[807]
57757	1	"57757-lightforged-uther"	5	[]	3	17	2	null	30	0	"빛벼림 우서"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/034f6e4218c412d7b2136fa97127c91d6f78e44f7f261b0514a8d8bccc7aadb3.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	671	[472]
53187	1	"53187-sir-annoy-o"	5	[]	3	17	4	null	30	0	"안녕로봇 경"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/683374d5966f1a42b76c6acddd13a94f3bef042e68933a865cbd1180829df960.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/256e6307b3f6b5eb31fd6c6c97603cbfa5b48c7fcaea089f5391992ee9507ca6.png"	671	[53188]
2827	1	"2827-lady-liadrin"	5	[]	3	17	4	null	30	0	"여군주 리아드린"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1b24101eba12a8053d5bc9a0518180a52a13b4221d516f682bc8fb0f5b8e1557.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	671	[2832]
46116	1	"46116-prince-arthas"	5	[]	3	17	4	null	30	0	"왕자 아서스"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/334d231696ea0c74d6a2f6ed967bce87051a8728ed7af17a8b4cc39c739f2f65.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dd560f002a6fce1e6e211201b845859437f4fa0b72f427fc66b23d5402b48f00.png"	671	[46115,472]
57767	1	"57767-king-anduin"	6	[]	3	17	2	null	30	0	"국왕 안두인"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/07058ea906d3f1a09b360cf5803ca991e69b687208cb2922d1278c474c6bfd77.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	813	[479]
54816	1	"54816-madame-lazul"	6	[]	3	17	4	null	30	0	"부인 라줄"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b607654c05a1fe1056cf7ca9c18140d35e6ca0ef74a13fe8824db0206bc34bf3.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	813	[54817,479]
41887	1	"41887-tyrande-whisperwind"	6	[]	3	17	4	null	30	0	"티란데 위스퍼윈드"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ae579e879b75cd665be93de3694842894a0033c5f1cf290efb8ab284a81ecb83.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	813	[41886]
40195	1	"40195-maiev-shadowsong"	7	[]	3	17	4	null	30	0	"마이에브 섀도송"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9370f84e8eaf05677450aea45f7decc0043f7293321e24f724f418799424d32b.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	930	[730]
57755	1	"57755-capn-valeera-"	7	[]	3	17	2	null	30	0	"선장 발리라"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/da735076891089bab46dbf3f4d64cefda6c083ebcf80395150659288965d774f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/078e61c1c12646a9ac26a297554401f2798c3e8bf7ebbbb198d2185d0b705b1e.png"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	930	[730]
57753	1	"57753-warchief-thrall"	8	[]	3	17	2	null	30	0	"대족장 스랄"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9c280f5c50736a18ebf6bf689984770452fff8a0c97fbdd4d58481f3560bec38.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	1066	[687]
60673	1	"60673-lady-vashj"	8	[]	3	17	2	null	30	0	"여군주 바쉬"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/52fafbfb3268e182f6f9abdf3509d8cc74e6e80a32d5f7790de6a2a891295e03.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/98fa3961dc3c42bf83da735a8c2cc7920b6823601c035d45e9ccf422cab76157.png"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	1066	[60674]
40183	1	"40183-morgl-the-oracle"	8	[]	3	17	4	null	30	0	"예언자 모르글"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b406536b2b6b295c8afeb5441932976885e3112d3e7e0bfa55f31d49ccff6bbe.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	1066	[40247]
53237	1	"53237-king-rastakhan"	8	[]	3	17	2	null	30	0	"왕 라스타칸"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a7128de8db359235432df70b9cfca1cccad6fbe8c514606e385302d990a83a17.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	1066	[687]
55963	1	"55963-the-thunder-king"	8	[]	3	17	2	null	30	0	"천둥왕"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/444ec27e02496d0b31eb69181cafbd6edb55cd5e4acedabdd44e682644bbaa6f.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	1066	[55964]
47817	1	"47817-nemsy-necrofizzle"	9	[]	3	17	4	null	30	0	"넴지 네크로피즐"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/951ecd435077b7d0ba1c35d083604ac62d423b41ee5868507639b7d10af671a9.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	893	[47788]
51834	1	"51834-mecha-jaraxxus"	9	[]	3	17	4	null	30	0	"메카 자락서스"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/28399b5e064f8e14040c57d63b15b7d90adbffcd59c7e9c33d54628d33384d86.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	893	[51837,300]
57763	1	"57763-shadow-guldan"	9	[]	3	17	2	null	30	0	"어둠의 화신 굴단"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/30e92284c8b5d88faf5617edc29a4cfa24c3468e1a321851d4437342e8b9f227.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	893	[300]
58787	1	"58787-deathwing"	10	[]	3	17	2	null	30	0	"데스윙"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7f52d222b80c0efbaddf205641c4a1127dee4716080b3cf5cf23c5fb9f7a1ed8.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	7	[58799]
2828	1	"2828-magni-bronzebeard"	10	[]	3	17	4	null	30	0	"마그니 브론즈비어드"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/94b075e2edd96db74ff9f145fd11dc10612431efcbe02a3abfa9de2f94812f3d.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f4cffcf6b96598f145ddc002bb604d5091bf6ce7c1ae45f2d20c835cad24a31f.png"	7	[2830]
57751	1	"57751-corrupt-garrosh"	10	[]	3	17	2	null	30	0	"타락한 가로쉬"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7dfc8560067c379587bd9f228052ff311131ce5176cfcbe973dbd357b2f7d4af.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	7	[725]
