id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	manaCost	armor	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds	duels
66939	1	"66939-shadowcrafter-scabbs"	7	[]	3	1626	5	"Ivan Fomin"	30	8	5	"어둠추적자 스캡스"	"<b>전투의 함성:</b> <b>모든</b> 하수인을 주인의 손으로 돌려보냅니다. <b>은신</b> 능력이 있는 4/2 그림자를 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8c44347338afd08ccbbd46a84bca35e354befd3808c140ef18bac43c2bbf4a17.png"	""	"사실 적진에 침투하는 것과 요리사로 일하는 건 크게 다르지 않습니다. 사람들은 화가 나 있고, 뭔가가 불타고 있으며 손가락을 모두 간수하기만을 바라게 되죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/817c553ade3a8afc37ccc2e6627be1bb31998b526f2ac90969853d859ee57464.png"	[66940,66941]	[6,8]	{"relevant":true,"constructed":true}
43417	1	"43417-malfurion-the-pestilent"	2	[]	3	1001	5	"Alex Horley Orlandelli"	30	7	5	"역병의 드루이드 말퓨리온"	"<b>선택 -</b> <b>독성</b> 능력이 있는 거미를 2마리 소환합니다. 또는 <b>도발</b> 능력이 있는 딱정벌레를 2마리 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f6108f3b914df0f7fdb3dd89588941ec566daca47190a3923a993bbcac9e0641.png"	""	"\"세나리우스는 내게 생명과 죽음의 조화를 꿈꾸라고 했었지. 하지만 마침내 깨달았다. 조화란 있을 수 없다. 죽음은 언제나 지배한다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6aa20f200b86b69b41920071f9be00d001b3b42f14065eb4c9b2d265a7bd501a.png"	[43182,45302,45301]	[1,32]	{"relevant":true,"constructed":true}
66876	1	"66876-rokara-the-valorous"	10	[]	3	1626	5	"Rafael Zanchetin"	30	7	10	"용맹한 로카라"	"<b>전투의 함성:</b> 5/2 단호의 철퇴를 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8272f8951cc4dede739c1a57d1a29db01f4661edb75f9d16ea058e5cd1d0d9df.png"	""	"호드에 처음 합류하던 순간의 강인함과 단호함을 잃지 않은 로카라는 이제 자신만큼이나 단호한 무기를 휘두릅니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b6da5047c785556cf9304b0f6e38cd765dc59340f2dc160cec4f045a6fad3e1a.png"	[66877,72683]	[8]	{"relevant":true,"constructed":true}
66848	1	"66848-magister-dawngrasp"	4	[]	3	1626	5	"Arthur Bozonnet"	30	7	5	"원소술사 던그래스프"	"<b>전투의 함성:</b> 이번 게임에서 내가 시전한 각 속성의 주문을 다시 시전합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/33385d7990bca18f5cffeaf4c35a13f4db667d77e5d068d0ba1f331120337f7b.png"	""	"위협을 맞은 아제로스를 구하고자 진영들을 통합해낸 이에게 마법학자는 부족한 호칭입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6de9631c07646d34d08b08c1ab87b98b94d4a4fcba9cb62aab453a3bbdefd3cd.png"	[67047]	[8]	{"relevant":true,"constructed":true}
66953	1	"66953-wildheart-guff"	2	[]	3	1626	5	"Paul Mafayon"	30	5	5	"자연의정수 거프"	"<b>전투의 함성:</b> 내 최대 마나가 20이 됩니다. 빈 마나 수정을 얻습니다. 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/90107b21579ebdcc71fcae2f66db852fb6316c5fcf0659cdb725fe209be96ce9.png"	""	"거프는 지금껏 맞은 가장 어려운 도전에 나섭니다. 전장에서 친구들을 만드는 일이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8deaf6052115c136ff58afe398e95e0d687654cc90abefdfbf9b6747873be006.png"	[66954,72840,72839]	[8]	{"relevant":true,"constructed":true}
67779	1	"67779-brukan-of-the-elements"	8	[]	3	1626	5	"Alex Horley Orlandelli"	30	8	5	"정령의 브루칸"	"<b>전투의 함성:</b> 원소 둘의 힘을 불러냅니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a37c8cfb4bb9718675842a58cf8bd2c0e621bbce298c49b76aefdb210898a02d.png"	""	"원소들이 브루칸의 핏줄로 파고들었고, 눈앞에 그의 지난 삶이 펼쳐졌습니다. 브루칸은 이 순간이 오리라는 것은 알았지만, 지금껏 원소들에 충분한 대가를 주었는지는 의문이었습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1de858b9d44258d522b47a42e38e833f2f59ecf12498015a5c3653258c24f18a.png"	[82021,67815,67816,67817,67818,70123,67802,70519,70520,70521,70522]	[8]	{"relevant":true,"constructed":true}
43398	1	"43398-deathstalker-rexxar"	3	[]	3	1001	5	"Jomaro Kindred"	30	6	5	"죽음추적자 렉사르"	"<b>전투의 함성:</b> 모든 적 하수인에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7b176b3fa277185834929e5c46c8d59b11b2817fddcb09bbad22e02a1a3b8c91.png"	""	"\"너는 너무 느리구나, 오랜 친구여. 사냥은 이미 시작되었다... 그리고 절대로 끝나지 않아.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aa19a2ab360d1be90f7ef134e5878190bf55b8f31a133ea63ba94bdd4be15229.png"	[43183,46119,46204,46672,50141,50142,50143,50144]	[8]	{"relevant":true,"constructed":true}
43406	1	"43406-uther-of-the-ebon-blade"	5	[]	3	1001	5	"James Ryman"	30	9	5	"칠흑의 기사단장 우서"	"<b>전투의 함성:</b> 5/3 <b>생명력 흡수</b> 무기를 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6818f7ca1d3cbb246642fe8713be4f68c5bd40cf37a7de7db2521b4ea91b6b48.png"	""	"\"앞으로 나와라. 그리고 속죄하라! 한때 나는 빛의 종복이었지만, 이제 심판을 내리는 자는 오직 나뿐이다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8d42dd7252408f3ff7e9ef530d67b4db579680afb128ca298f13df7b64bfc699.png"	[43013,43405,45618,45619,45620,45621]	[8,38]	{"relevant":true,"constructed":true}
43415	1	"43415-bloodreaver-guldan"	9	[]	3	1001	5	"Alex Horley Orlandelli"	30	10	5	"핏빛약탈자 굴단"	"<b>전투의 함성:</b> 이번 게임에서 죽은 모든 아군 악마를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/55550e32a7b8742344423af85b360680c0880d32b5f7ff8cb00e6509e46b0ff7.png"	""	"\"아직까지도 무릎을 꿇지 않는 것이냐? 어리석은 놈. 죽음을 벗어날 수는 없다. 그리고 죽음을 맞이하면... 곧 나를 섬기게 되리라.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a3cd330c70d7f5d6401ea2b7c8dee3d5eea76b1120783fa8b904fdca661943ab.png"	[43181]	[8]	{"relevant":true,"constructed":true}
43392	1	"43392-valeera-the-hollow"	7	[]	3	1001	5	"James Ryman"	30	9	5	"환영자객 발리라"	"<b>전투의 함성:</b> 내 다음 턴까지 <b>은신</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3ae5d77d5b5ccb3fd9170149480a7eef97dec5c1d57621820947ff29858e3913.png"	""	"\"그래, 도망쳐라. 너의 요새와 성곽과 병사들 뒤에 숨어 보아라. 밤은 언제나 찾아오고, 그림자는 언제나 드리운다. 그리고 어느 날, 나는 너의 뒤에 있을 것이다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c755d495e3f6bb10d0f7f08b049a6c3e177bbffa9299bbc7c61fac05eb08c121.png"	[43188,45724]	[6,8]	{"relevant":true,"constructed":true}
