id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds
692	1	"692-druid-of-the-claw"	2	[]	4	3	1	"Luca Zontini"	4	4	5	"발톱의 드루이드"	"<b>선택 -</b> 4/4 <b>돌진</b> 하수인 또는 4/6 <b>도발</b> 하수인으로 변신합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7aa7237cde737f7dfe4f33e3d68e83c7d314906f2b50e7b0cc99d75850b5f266.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2d5e1ddc0ef57548645e739b8de26873ba0d8600c812be57045b71a81a2ce363.png"	"표범이냐, 곰이냐, 그것이 문제로다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d8b87dd691b0183901693435d20ca55bec9df5fb4723777b009e5956ae09cab.png"	[63,99]	[1,4]
2048	1	"2048-druid-of-the-fang"	2	[]	4	13	1	"Brandon Kitkouski"	4	4	5	"송곳니의 드루이드"	"<b>전투의 함성:</b> 내 전장에 야수가 있으면, 7/7 야수로 변신합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/51a0cd2ea8302f8a12b2340c2a63acfdad0162ab05c6d546be88fec738092c41.png"	""	"송곳니의 드루이드는 통곡의 동굴에 삽니다. 그들은 화려한 뱀 셔츠를 입고 뱀이 소재인 농담을 하고 \"BAAM\"이란 랩을 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c9dcda19a6696db2695809bb0705f463d8cd4adef925ef947344d9f90d1f72c7.jpg"	[2230]	[8]
42615	1	"42615-fatespinner"	2	[]	4	1001	4	"Dan Scott"	3	5	5	"운명술사"	"<b>죽음의 메아리 (비밀) 선택 -</b> <b>모든</b> 하수인에게 피해를 3 줍니다. 또는 +2/+2를 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/615f42d3ad0714a98f64fd258bbe3811e18425c5a8fe15444cf1d9bedb530274.png"	""	"입고 있는 옷이요? 당연히 순수 비단이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/54b0736f2235501d75a1645dd895bdb86e00d278a9976274d4be90c27b8ee207.jpg"	[43430,43436,43437]	[12]
50356	1	"50356-treespeaker"	2	[]	4	1129	4	"J. Axer"	4	4	5	"나무예언자"	"<b>전투의 함성:</b> 내 나무정령들을 5/5 고대정령으로 변신시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/334a6600aa54ebee70f1d40e3789fc99bcf9b359d6ce067819a553509deb85f1.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e45f875eaddf701c539f32ebdce3bb13ad99a3662681f0a49c800e9ded18a199.png"	"변신해라, 나무나무!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4211b4d51c0ee39fc37ee1fd977c64d1315760ae4694e4334f57d2cda96e521b.png"	[51868]	[8]
1035	1	"1035-ancient-of-war"	2	[]	4	3	4	"Sean O’Daniels"	5	5	7	"전쟁의 고대정령"	"<b>선택 -</b> 공격력 +5 또는 생명력 +5와 <b>도발</b>을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a86511635c8c7f375ea6f8735d0c1a738c44b876602e8f68f8dcb6378d7cd7d9.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d187eff733ac46860cb2e3fd7738636f3d7da3aa6235cc42d96a77567b47602b.png"	"젊은 나이트 엘프들은 \"전쟁의 고대정령 뿌리 들게 만들기\" 놀이를 즐깁니다. 정령에 깔려 죽는 엘프가 지는 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b7721a0264ddc3d862432d48c20683332fe30acb2a91bb9ad6bf0e03c0052883.png"	[182,578]	[1]
51795	1	"51795-lucentbark"	2	[]	4	1130	5	"Steven Prescott"	8	4	8	"수정껍질"	"<b>도발</b>, <b>죽음의 메아리:</b> <b>휴면</b> 상태가 됩니다. 생명력을 5 회복시키면, 깨어납니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e01df4d1ea1c91096ad96edda90bd907bfaad421fd745dfb442c306570ef27e1.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2a3ef775ec447c15223bc8ec2ed8baed64afb5f815acbef5c7cdef6d1f8059d4.png"	"죽음은 탈출구가 아닙니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2691df029440170566ef662051ff2932b55ef81a2943db0a1810066d974690be.png"	[51796]	[1,12]
36	1	"36-cenarius"	2	[]	4	3	5	"Alex Horley Orlandelli"	8	5	9	"세나리우스"	"<b>선택 -</b> 내 다른 하수인들에게 +2/+2를 부여합니다. 또는 <b>도발</b> 능력이 있는 2/2 나무정령을 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7a9564ec2e24bb33243393a1ed3854e906baef12f259dbf475320cf9dff688d3.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0232d288dc0f7a5fb15f08abc5dbe5011f9940c4f071d97259a9c2aac7151e31.png"	"반신반의하시나요? 네, 이 친구 반신반인 맞습니다. 그래서인지 반신욕을 싫어한다더군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/75bfd42165394b1635edd50957bc3d25a4c1e01e02be039f63664529c88f7bae.png"	[364,678,1145]	[1]
46596	1	"46596-duskhaven-hunter"	3	[]	4	1125	3	"Garrett Hanna"	5	2	3	"어스름 안식처 사냥꾼"	"<b>은신</b>, 이 하수인은 내 손에 있으면 내 턴마다 공격력과 생명력을 바꿉니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0de398003cf6839419e7143186541a58d17c366bd608fdd8dff7ada3e3935ea8.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4af7f09a3464fee2674eaebd9e736119fce8c06779edb29342ab4d12dd4f74ba.png"	"내면의 야수를 정말로 받아들이고 말았군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	[46597]	[6]
47256	1	"47256-toxmonger"	3	[]	4	1125	4	"Tyler West Studio"	4	2	4	"독소 전문가"	"내가 비용이 1인 하수인을 낼 때마다 그 하수인에게 <b>독성</b>을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f64c9a59a0c3cd2fca6dbf64355da1132437f83be7baae1a4cb31b2924a48d70.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/896b5a917f5761ec7338cdaaf33c4f60c09b97468108060f8c04c923d01624a4.png"	"모든 거미가 독성이 있는 건 아닙니다. 하지만 이 녀석이 그렇게 두질 않죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/354bb081d9a905fc7a3bf8580e7c6df29641682812c45ee13abe23f86fc416e6.png"	[47930]	[32]
47841	1	"47841-boommaster-flark"	3	[]	4	1127	5	"Jomaro Kindred"	5	5	7	"폭발광 플라크"	"<b>전투의 함성:</b> 0/2 고블린 폭탄을 넷 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/47b87e92ce67ba06ff4ffd13d026e4199847466e9b854a7ab9540566257b4801.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f4ce8cd9679c933912978eabfd1a987ce4774b604a2fb14d4c4df8b8eedb5910.png"	"모든 계획에는 침착함이 필요합니다. 그리고 엄청 많은 폭발물도 필요하죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ccb7b78b31ff3a2088441ad567aac0bd69f6c78d2eb6a18988261d8ebd9f21e9.png"	[47837]	[8]
52091	1	"52091-vereesa-windrunner"	3	[]	4	1130	5	"James Ryman"	6	5	7	"베리사 윈드러너"	"<b>전투의 함성:</b> 소리달 - 별의 분노를 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5187c8b2253ffd0e2d051d375eb0bf84bd52d0965e30d1c42beafc71195846a9.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9636f7cfb2a788e47ffecebfe94ba4a9e68b18909dbd03d6b4dc7fda120bde54.png"	"그녀가 겨누고 있는 세 발의 화살은 각각 윈드러너 세 자매를 상징합니다. 물론 근거는 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0fff1e2b63f5f9edfac0b38c5bc05788223ec59493f0e9efd7a1755dc382d86c.png"	[54157]	[8]
53926	1	"53926-dinotamer-brann"	3	[]	4	1158	5	"L. Lullabi & K. Turovec"	4	2	7	"공룡조련사 브란"	"<b>전투의 함성:</b> 내 덱에 똑같은 카드가 없으면, 왕 크루쉬를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/414c64fb9f1878930253defd8a5abcd1cc6b120d3564b84902ca59315a37427c.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ee660ff70c446051b1e5146f577b955d1ff9092cc76d48246edeb561800b1000.png"	"브란의 새로운 취미인 공룡 길들이기가 순조롭게 흘러가고 있습니다. 벌써부터 브란을 앉고, 서고, 구르게 하고 있다니까요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5d4e7e29ded039d93ef918b125c92f802cbe956bae3c231a1cf76854b04f1fa2.png"	[55645]	[8]
56717	1	"56717-astromancer-solarian"	4	[]	4	1414	5	"Arthur Gimaldinov"	2	3	2	"점성술사 솔라리안"	"<b>주문 공격력 +1</b>, <b>죽음의 메아리:</b> '솔라리안 프라임'을 내 덱에 섞어 넣습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8af883d3b4947621ccf9985b5ecc57128db469f068c4151502c9ef16f7985ce8.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/083f99982bb7eaf6ec23fa77acb849b50723678f04933db09f14502cf0102d51.png"	"캘타스 선스트라이더의 충직한 부하였던 이 블러드 엘프 마법사는 공허의 비전 마력을 갈망했습니다. 아니, 어쩌면 공허가 그녀를 갈망한 걸지도 모르겠네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7a83590641298af2a51661621cba84e53a1ae3693bd732870661476c690be88a.png"	[56718]	[2,12]
46499	1	"46499-dragoncaller-alanna"	4	[]	4	1004	5	"James Ryman"	3	3	9	"용소환사 알라나"	"<b>전투의 함성:</b> 이번 게임에서 내가 비용이 (5) 이상인 주문을 시전한만큼 5/5 용을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6dbbb3607e8a3cbfd9c010e2a2be44345d34812468dfbeec1309d1dbd08ee6b2.png"	""	"친절한 목소리와 핫도그 한 보따리면 용 길들이기도 껌값입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/99930e1fc8dbdce74a9d2f96c5c0c83763f6e6ef1cfc82b9762ab1bd6f5659cd.jpg"	[46498]	[8]
39477	1	"39477-nightbane-templar"	5	[]	4	23	1	"Luke Mancini"	3	2	3	"파멸의 어둠 기사단원"	"<b>전투의 함성:</b> 내 손에 용족이 있으면, 1/1 새끼용을 2마리 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/601afe6a489d8d5204a1ef4c06fc6a62cd429969944c4e5acef0251def09cd76.png"	""	"원래는 아르카나고스의 기사단원이었지만 주인의 이름이 바뀌면서 기사단의 이름도 바뀐 경우입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f2115fcecd037fe42f8eed92e533af3ec0c6d7e66fc0e697d19b53307bc79e86.jpg"	[39692]	[8]
55072	1	"55072-dragonrider-talritha"	5	[]	4	1347	5	"Paul Mafayon"	3	3	3	"용기수 탈리사"	"<b>죽음의 메아리:</b> 내 손에 있는 무작위 용족에게 +3/+3과 이 <b>죽음의 메아리</b> 능력을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/562c962f4dd7c2e937501d48060056773cb6ffd47e741a3eac7559ff51286992.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6d4be9e5a43cdb4bc19f735300a203ab257b095955643a88bc2b5adf9fca4a24.png"	"사실 +3/+3이 기수였던 것임!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f9560672ce294e3c7a9e4b79c2465b7c8756e46a382fd8d15fd8b9da57d120a8.png"	[60710]	[12]
50031	1	"50031-spirit-of-the-tiger"	5	[]	4	1129	3	"Arthur Gimaldinov"	3	0	4	"호랑이의 혼"	"1턴 동안 <b>은신</b>을 얻습니다. 내가 주문을 시전한 후에, 그 주문의 비용과 능력치가 같은 호랑이를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6355e73b280c9a140f57a87ce68b864e631422086f4dbf66be858fa6d794fc15.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5c1f3de5bbbda489280c472daeb441d09bde492a9e507e85778157b530369012.png"	"개박하의 제단에 가깝습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8d4bc13dfdece6aab1fa6f3e2cb92ee75b5d89c09fd36b9ba1398b26ad52247d.png"	[50033]	[6]
55068	1	"55068-lightforged-zealot"	5	[]	4	1347	3	"Anton Zemskov"	2	4	4	"빛벼림 광전사"	"<b>전투의 함성:</b> 내 덱에 중립 카드가 없으면, 4/2 용사의 진은검을 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e962dad37069fee670c8885492e978c14d734c26f6445fbe68d216323dccb75c.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e97f486b0241b9e33c70695a711aff5ea88b8a4dd195326bb7d42eb59de88f72.png"	"'팔라딘스... 어셈블.'이라고 하면 모이는 이들 중 하나입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9ad3a585c5c226f5800ef5e7a8b405aeb5df98f2e93fa3d92c8ea34ca836a227.png"	[57936]	[8]
890	1	"890-tirion-fordring"	5	[]	4	3	5	"Brom"	6	6	8	"티리온 폴드링"	"<b>천상의 보호막</b>, <b>도발</b>, <b>죽음의 메아리:</b> 5/3 파멸의 인도자를 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/17833ebd65a1df8818f35348c1f3d99d6f6fe9b237615bef8aba8117a4420fa8.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5683d3189d225e61484838b0ea5b02f0112f747b49e9c6e4b08cccf6344d20f4.png"	"혹시 티리온 폴드링 테마 송 들어 보셨나요? 못 들어보셨다고요? 네, 그딴 건 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e7f3979625b96620e4d0252b138c4ee70f7143650db85e5ed6d002477b0d307c.png"	[1730]	[1,3,12]
57166	1	"57166-reliquary-of-souls"	6	[]	4	1414	5	"Jaemin Kim"	3	1	1	"영혼의 성물함"	"<b>생명력 흡수</b>, <b>죽음의 메아리:</b> '영혼의 성물함 프라임'을 내 덱에 섞어 넣습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c3f57ecee1379e2724dd8218a82e953ff61abc9c3fa0965e4a5158bea4801a82.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/585376eaaccd37b3e266dacf58cb56eaa1a0fddd2be2b32a0268c7064ec9bb9f.png"	"이 성물함에는 분노, 욕망, 고통을 상징하는 세 영혼이 담겨 있습니다. 공격대 때의 길드 대화창이 연상되는군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f6dabb74ae7eb5e5e681530cd0e2d7cfb6377114b23de937e8bedf7464b4ef63.png"	[57172]	[12,38]
52109	1	"52109-evil-conscripter"	6	[]	4	1130	1	"Tooth"	2	2	2	"잔.악.무.도. 징집관"	"<b>죽음의 메아리:</b> 무작위 <b>졸개</b>를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d3a688249b6ad28319a334545a7322d6a7267840e106f7b2625b921e31e9960d.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e3949ffaf0ed47637a5cf3aeec326b87ca5148f911547f012f9f7a0ea6714b81.png"	"잔.악.무.도.를 다니고 너의 성공시대 시작된다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/266bbcafd1a7e0b97c7a4adb2e6fcbf4d0e8d0c3583167c9b110002879cd3d97.png"	[52897,52900,53160,53161,53162,53163,55378,60588]	[12,71]
50315	1	"50315-sand-drudge"	6	[]	4	1129	1	"Dave Allsop"	3	3	3	"모래 노역꾼"	"내가 주문을 시전할 때마다 <b>도발</b> 능력이 있는 1/1 좀비를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5227daa48d4596aa993d4f2934d092f53b88f82493e3e44a584fa4077a291c41.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7223d031bf22e79305577a5c77fb673c5c8031b64c7eabc86956591922657961.png"	"\"친구가 없으면 어때! 나처럼 이렇게 만들면 되는데!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/eb311a70576738199aeb1872d2be4e13a08dcfd9144370ba084964fc066b406c.png"	[50845]	[1]
201	1	"201-defias-ringleader"	7	[]	4	3	1	"Dany Orizio"	2	2	2	"데피아즈단 두목"	"<b>연계:</b> 2/1 데피아즈단 무법자를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5a5bd59e4e6f3271c775e634cc3b08e289cbffd67cafbf072e9c6a666baec18f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/178c8d7cbc9af37bd35a9d246562a1c178465ecdb5c3a71553bf504a62e37366.png"	"두목은 묵직해야 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0ad654b13ab2ddeb69798f6c332dc2e09fd36840d565f63b9f806bd6214aeaa0.png"	[488]	[13]
2891	1	"2891-unearthed-raptor"	7	[]	4	20	3	"Trent Kaniuga"	4	3	3	"발굴된 랩터"	"<b>전투의 함성:</b> 아군 하수인의 <b>죽음의&nbsp;메아리</b>를 복사합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ce189fa7959dd04ca9cbc36f8870940867db9aeab8e0d6cdcd46b991b449c16b.png"	""	"자신을 발굴한 자를 아직도 쫓고 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7e5e47d80e78bf66821d9ce22ce6d13aa57685438611ac054540284fff06d5ab.jpg"	[2992]	[8,12]
39822	1	"39822-deadly-fork"	7	[]	4	23	1	"Konstantin Turovec"	2	3	3	"치명적인 포크"	"<b>죽음의 메아리:</b> 3/2 무기를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/61f7dc563dca509c56a6b557048d4d409df8263152d30986ac446b5e6cf25f66.png"	""	"올바른 순서를 원한다면 치명적인 포크를 메인 코스용 포크보다 먼저 두되 샐러드 포크보다는 나중에 둬야 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e90a6985082da34de3879e009eb39f7ccfb375f8c5c291018fbbb99ecd2a0fb8.jpg"	[39821]	[12]
52111	1	"52111-evil-miscreant"	7	[]	4	1130	1	"Mike Sass"	4	1	3	"잔.악.무.도. 악당"	"<b>연계:</b> 무작위 <b>졸개</b> 둘을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a0f3cd70c0c069426dd21649f694aaf53a63aa81a36aca760a4cdeaf1c9b646a.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cb111c24911a7a8d0eaa7d01c070262cca03eb9556fc81d9f5d38d86f13b9c05.png"	"착한 악당은 없기 때문이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0e9dc6210f441bb7dfc078ffbdaca619a7a1959b7f6ea91a5abb1900ecb8103c.png"	[52897,52900,53160,53161,53162,53163,55378,60588]	[13,71]
56530	1	"56530-akama"	7	[]	4	1414	5	"James Ryman"	4	3	3	"아카마"	"<b>은신</b>, <b>죽음의 메아리:</b> '아카마 프라임'을 내 덱에 섞어 넣습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a375d9228296aebbdf40012dee7211f4a7c41a651d13b4f6506378a6ac3c0702.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/903f1dc15a003f6f79ac4aa9b5ba6d30038e50775d49c8a1b36156555ae87a92.png"	"\"내 부족 중 몇몇은 나를 배신자... 혹은 일리단의 충견으로 부르곤 하지. 때가 될 때까지는... 잠시 그림자 속에서 기다리고 있겠다. 음, 생각해보니 계속 그림자 속에 있는 게 나을 것 같은데.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b30a22671ad3c18de942e777344256f1d36bd269726eec5f1a5ac17aefcafc9c.png"	[57156]	[6,12]
