id	collectible	slug	classId	multiClassIds	spellSchoolId	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds
49052	1	"49052-voltaic-burst"	8	[]	4	5	1127	3	"Zoltan Boros"	1	"볼타 폭발"	"<b>속공</b> 능력이 있는 1/1 불꽃을 둘 소환합니다. <b>과부하:</b> (1)"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d82a9bdfc579d826d25af7191b29d4559fd9b68ff5170fc18b87ebd933844c8.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c89e5ec86ffd89e810e7bf03f25207734f5996f6f16d6b487ade5bd4f8af83e5.png"	"전지의 구성 요소는 세 가지입니다. 양극, 음극, 그리고 과부하."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1287c90204c305e1d30e06bc100d0a4a8f72501356ba106a302edd12e57d92c5.png"	[48557]	[14,53]
97700	1	"97700-trial-by-fire"	10	[]	2	5	1858	4	"Grafit "	6	"불의 시험"	"<b>속공</b> 능력이 있는 1/1 발키르를 다섯 소환합니다. 하나가 죽으면, 다른 발키르들에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ff860aaff24f227c3541e8bc799833e939dda7438d6bb0adbb888aeddbe22e23.png"	""	"자, 저기로 들어가라고."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ecf78d7b6fca5e4a1b44a5710b67d4fa81b2390d0d4894647aa7b1f2200b617a.png"	[97069]	[53]
90591	1	"90591-breakdance"	7	[]	6	5	1809	4	"Vlad Botos"	1	"브레이킹"	"아군 하수인을 내 손으로 다시 가져옵니다. 그 하수인의 능력치와 <b>속공</b> 능력이 있는 춤꾼을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4b4e094958b6992c8def731aa705ca0e9948b392a23bca8c7db3ea8f114a6ee3.png"	""	"\"대장님! 어... 저기... 그게... 우리 지금 한 방 먹은 것 같은데요? 이런 상황에선 어떻게 하죠?\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3692251772ede817de647834cca283350cd1a3576a336f41d3d710cff034bfff.png"	[90593]	[53]
52639	1	"52639-ray-of-frost"	4	[]	3	5	1130	1	"Alex Garner"	1	"서리 광선"	"<b>이중 주문</b>, 하수인을 <b>빙결</b> 상태로 만듭니다. 이미 <b>빙결</b> 상태라면, 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ae47f4f5f16fc5b55207aa1a3764d1c38acd91926505720c86775c3ea8d8a066.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3da13e0da304bb20964b8a69ffcf4664f288a64996a02250db69ba4dda077a0c.png"	"머리를 식힐 방법이 필요하다면 추천합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/27a377396d6445f28e979e0a956edc5d72e3fea18fe6e5dbeb3ebd1183d03d27.png"	[54193]	[10,76]
52819	1	"52819-the-forests-aid"	2	[]	4	5	1130	3	"Vladimir Kafanov"	8	"숲의 지원군"	"<b>이중 주문</b> 2/2 나무정령을 다섯 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b5a930fe687e4279708d3ebd601726b6ac375442985a6795d4fea5076d43539f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d84f43f3a87686324019064e10f9642e57540edd347bb3e9a7e7b6fddeb4dd3.png"	"이 정도면 숲의 지원군이 아니라 숲 그 자체군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/331bbe0fdf3d5a48b3e31369ca6e4390cf3528bd65738c783751305297d06e4a.png"	[53302,52821]	[76]
92325	1	"92325-chill-vibes"	8	[]	3	5	1809	1	"Vladimir Kafanov"	3	"시원시원한 감성"	"생명력을 8 회복시킵니다. <b>피날레:</b> <b>도발</b> 능력이 있는 3/3 정령을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fc227ddbf9122399ba831c3dc9293722499238006e0bbc36a3545b5c1f119c09.png"	""	"\"여러분은 지금 47.7 주술사 FM 라디오를 청취하고 계십니다. 느긋하게 음악 감상의 세계로 여행을 떠나봅시다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1d1e9d9bba08f1acd8c26f4b709439ad21881319e1a75ce4a0c4976eaf6a0079.png"	[97075]	[1,255]
102598	1	"102598-shadow-word-forbid"	6	[]	6	5	1898	3	"Kevin Sidharta"	2	"어둠의 권능: 금지"	"<b>교환성</b> 공격력이 4인 하수인을 처치합니다. <b>타락:</b> 공격력이 4인 <b>모든</b> 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9f8dd1a7ca29497b4798a6da32623519ef1537186eb868db46b995ee1ea1cc32.png"	""	"이제 사제에게 약점은 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/855d827272376c5e599063e8a442cd43dbf40309508436903f069749020051f6.png"	[102599]	[91,97]
97649	1	"97649-embrace-of-nature"	2	[]	4	5	1858	3	"Vladimir Kafanov"	1	"자연의 포용"	"<b>선택</b> 카드를 뽑습니다. <b>제련:</b> 두 능력이 모두 발동합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e7bdd3be1ebf2a6fb73f5c6c988cf93b6de8149e6c15a770fd1441d00999b410.png"	""	"우리의 힘을 합친다면..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/58771517d8bc5c1fd9c23bbaaa30978697d46c72bac3a0e205c219e9943067e7.png"	[98335]	[266]
88580	1	"88580-harmonic-disco"	5	[]	5	5	1809	3	"Vlad Botos"	5	"조화로운 디스코"	"비용이 5인 하수인을 <b>발견</b>합니다. 그 하수인에게 +1/+1을 부여하여 소환합니다. <i>(매 턴마다 바뀝니다.)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/65576ac0272cff7c2b74edca0a93132e2c6d173dc72e4e561d2a4f425dcf3a13.png"	""	"\"걱정 말아요, 노래자랑 관중 여러분! 디스코는 혼란의 도구가 아니라고요!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b25529125db0cb326734e323f26b7df91dd2ae871d9905d64166ad5ba3d79a7b.png"	[88555]	[21]
90694	1	"90694-spotlight"	5	[]	5	5	1809	4	"Hideaki Takamura"	2	"집중조명"	"<b>교환성</b> 아군의 <b>천상의 보호막</b>을 제거하고 5/5 정령을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/53d87bab34a1e595efba2bcc2dd8ec8f4165ab8b9dbc7ce7b6fd32718a39ec7d.png"	""	"모두가 당신을 주목하고 있습니다! 뭐, 정확히는 집중 조명으로 쓰는 거대 정령을 보는 거지만, 하여간 중심은 당신이라고요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8c98695741c2c20b08dd23c3b59d57e56d9fff53fb5ce87729019f96983d773c.png"	[94029]	[3,97]
97261	1	"97261-creation-protocol"	6	[]	5	5	1858	3	"Daniil Kudriavtsev"	2	"창조 프로토콜"	"내 덱에서 하수인을 <b>발견</b>해서 복사해옵니다. <b>제련:</b> 하나 더 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9335c8fb96882f66a32f5e5a252236ccc0665544ba918d3eacc8d2fbc04b32d9.png"	""	"파괴 프로토콜을 원하면, 반대로만 하면 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0cdfc4e38dd771cd0b6928c298608adbde58bcb35c5122d14e023ce8454465ae.png"	[97264]	[21,266]
51971	1	"51971-conjurers-calling"	4	[]	1	5	1130	3	"Jakub Kasper"	3	"창조술사의 부름"	"<b>이중 주문</b>, 하수인을 처치합니다. 그 하수인을 같은 비용의 무작위 하수인 둘로 교체합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/83dc171839d66d6b15cc9273935ae8f9f5759ef40ebc233912982cfe782f8c9c.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2e7dcd4f6e34d6c36f73f71e8371beef291f153112d96a4435419d9832e510a7.png"	"목청으로 안될 때는 음성 메시지로 남깁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3b654ae18924f9e17fc5ac5cea87987c1fd3f4264acb244e6e586967afbaacb4.png"	[52637]	[76]
92232	1	"92232-jive-insect"	8	[]	2	5	1809	5	"Ivan Fomin"	5	"춤춰라, 벌레 같은 놈들!"	"하수인을 불의 군주 라그나로스로 변신시킵니다. <b>과부하:</b> (2)"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4575f92121d8a58547cff58370f131fab369f387c542d3fd44e92dd158ecee74.png"	""	"\"왜 춤추는 사람이 하나도 없어?! 내가 따로 요청까지 했는데!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d3ace6b02324757f7e544bb2128c202573356ae40784314484a1a8a7fafe4e00.png"	[102272]	[14]
97671	1	"97671-turn-the-tides"	8	[]	4	5	1858	1	"Konstantin Turovec"	3	"파도를 돌려라"	"이번 턴에 내 영웅에게 공격력을 +3 부여합니다. <b>속공</b> 능력이 있는 3/3 정령을 소환합니다. <b>과부하</b>: (1)"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/beb7d609c393abd0fd9f7ae1b4b2927a63c51d218efd98224dc263a8f1087e40.png"	""	"물이야!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4c8b94c26cfabb10c141a94ae2c3d48a747a85c7221c39e266283d7f13eeea2d.png"	[97673]	[14,53]
56292	1	"56292-eye-of-the-storm"	8	[]	4	5	1403	1	"Evgeniy Dlinnov"	10	"폭풍의 눈"	"<b>도발</b> 능력이 있는 5/6 정령을 셋 소환합니다. <b>과부하:</b> (3)"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/df2d4bfb37f087170a787d99d286649a767b8c8d187305d7101294fc6011ef5a.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ed4e21478b67715737f7c4b069afaf03200afed2f939e1cd499110f82467d816.png"	"저게 폭풍의 눈이라면 폭풍은 얼마나 끔찍할지 상상하기도 싫군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e85782a4301b52a899d9004a4ae847203226de54e8c09e8cbed961861c85b989.png"	[56291]	[1,14]
56554	1	"56554-libram-of-hope"	5	[]	5	5	1414	4	"MAR Studio"	9	"희망의 성서"	"생명력을 8 회복시킵니다. <b>도발</b>과 <b>천상의 보호막</b> 능력이 있는 8/8 수호자를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b1cf09619d9467d2cb936aa97d900f1ce2a5826d8a1855ebf958a2a0b3a166f9.png"	""	"\"나, 강림. 너의 하수인은 폼나긴 하지만, 닿지 않으면 빛나지 않지.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d38a29ebff4fbbd74c262b8db9cdb04b7fba153637628236a86120eb55f02d22.png"	[57471]	[1,3]
