id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	duels
62812	1	"62812-piercing-shot"	3	[]	5	1525	1	"Jim Nelson"	4	"관통 사격"	"하수인에게 피해를 6 줍니다. 초과한 피해량만큼 적 영웅에게 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/18ee54378c631a9ecefa6896ff55bb0585cd2abfc4ff01662c63b06fc722caee.png"	""	"고블린은 실탄 하나라도 아끼고자 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/767b11808eafb4effe0f1e8d702200fa477ae9271eaa158ac5d1deabfdc5e104.png"	{"relevant":true,"constructed":true}
1108	1	"1108-rampage"	10	[]	5	3	1	"Jonboy Meyers"	2	"광란"	"피해를 받은 하수인에게 +3/+3을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2166426d9f15e57fd43c1b4a5da42c6bca531a6abe083dfd25a2784a5d7db281.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/94e786778ed5b03333f037d15cc812f4b6324261d44f0fb6e5e5860e2d6fea43.png"	"하수인 화났다. 하수인 부순다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c31fdb13b3790059179baee35e246fc82b729cb0f2748767610db0d21664e2fb.png"	{"relevant":true,"constructed":true}
65598	1	"65598-parrrley"	7	[]	5	1578	3	"Vladimir Kafanov"	1	"교섭"	"이 카드와 상대편의 덱에 있는 카드를 바꿉니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/23246e9c81082afcb5d69e4cb8ff5280e9b8ad7dc895806b1c5f0c985cbddcd7.png"	""	"원수 간의 교섭이니 마음 단단히 먹으세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f1243813902ee9037411ae8bddd04327c810e0e7749494cc5d37d5675d25fcea.png"	{"relevant":true,"constructed":true}
61131	1	"61131-throw-glaive"	14	[]	5	1466	3	"Matt O'Connor"	1	"글레이브 투척"	"하수인에게 피해를 2 줍니다. 이 피해로 대상이 죽으면, 이 카드를 복사하여 이번 턴에만 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/031b67ae813a1503fccb49aaa8605b628aae769dca6a8ee6cc10106f9faccd93.png"	""	"\"아니, 내가 보여 달랬지 언제 던지라고 했어?\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/83b287815e7ea234a45f4daf5e4e86013410737bd36e527199b021445eb2bb77.png"	{"relevant":true,"constructed":true}
180	1	"180-backstab"	7	[]	5	1635	2	"Michael Sutfin"	0	"기습"	"피해를 받지 않은 하수인에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6fe7769c7ed50f03a5fd9d5b322ff5e2772e5a07d2fa6aca749e9c87db57e473.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bda9d8d5ea6ffb14a6bfcf24e3d1215f5c27ea1dcf0544461ac866122ded9e56.png"	"사실 이 기술은 \"저게 뭐지?!\" 라는 말을 듣고 등을 보인 적에게 사용하는 기술입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/42b9307705362b24fa4d4944836df09857cebc9289ad8c468cc4fd7314aa5e03.png"	{"relevant":true,"constructed":true}
85047	1	"85047-unending-swarm"	2	[]	5	1776	1	"C. Hayes & R. Kamen"	6	"끝없는 무리"	"비용이 (2) 이하인 모든 아군 하수인을 부활시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5e7173e2b5c5a91729a0a053732a70eb2436dc7ee698ed998646b37d922686b8.png"	""	"무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리 무리..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8c3959d9a774f5f19a5d7e9b48369b1f228a55dc36e8255fd2353ff34ce8616d.png"	{"relevant":true,"constructed":true}
64355	1	"64355-tiny-toys"	8	[]	5	1578	4	"Matt Dixon"	6	"나만의 작은 장난감"	"비용이 (5)인 무작위 하수인 넷을 소환합니다. 그 하수인들의 능력치는 2/2가 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/65576d2b35e3acb83ec73da3221a023ae711c3f9940ac11facb39e4e0211bc9e.png"	""	"엄마! 나도 저 피규어 갖고 싶어!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ba73cf7f50f75d7132e3651f4c6e64b409b8d61f18289cb39f1d7d6c8345706b.png"	{"relevant":true,"constructed":true}
75	1	"75-brawl"	10	[]	5	3	4	"Wayne Reynolds"	5	"난투"	"무작위 하수인 하나를 제외한 <b>모든</b> 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a9fab0c20707347496807fc808e6edbefbff451d1cde45d6d140765f6b6ac87a.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5bde4aba524a49879d8a6e81a662f39d9a93673071537621058f43ae7e9cdc3b.png"	"싸움꾼 조합의 첫 번째 규칙이 뭐죠?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bb029c305f4101f2254c9fe424e59d8f16fc1824ed57c7b062fd07077c824a5b.png"	{"relevant":true,"constructed":true}
2018	1	"2018-bouncing-blade"	10	[]	5	13	4	"Andrew Hou"	2	"날뛰는 톱날"	"무작위 하수인에게 피해를 1 줍니다. 하수인이 죽을 때까지 반복됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9aea50423802f62d685d7fdabefc9de284e64c33965575fc7239872ad35566fb.png"	""	"고블린들만큼은 이게 꽤 괜찮은 무기라고 생각하고 있었는데 이제는 좀 생각이 바뀌고 있답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cb44a4681fe053104e9e1e0e361aeac71a48b0c9b18b9f7736728e16994705f0.png"	{"relevant":true,"constructed":true}
71709	1	"71709-barbed-nets"	3	[]	5	1658	1	"Hideaki Takamura"	1	"날카로운 그물"	"적에게 피해를 2 줍니다. 내 손에 있을 때 나가를 냈으면, 대상을 둘 선택합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8b8c7418725e9b8af0661e3b6e361daf1c67b03972231bb00fab5fc1f8939342.png"	""	"오는 길에 잡아왔다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/06e5ea7b00c45c4810f1213a9ed0bac52fb9cea5247a82aaaac1d66aaad057ff.png"	{"relevant":true,"constructed":true}
22	1	"22-inner-rage"	10	[]	5	3	1	"Slawomir Maniak"	0	"내면의 분노"	"하수인에게 피해를 1 주고 공격력을 +2 증가시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/163c23443d187e6b0ce9150fac750239281b5e50e459cae318ab31fd345b84df.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/80a0495ed4d08dce14482d2150e21c39b40cc7b68c9f155df934534f69ef3237.png"	"이것으로 우리는 빛샘도, 소환의 문도 모두 감정이 있다는 걸 알 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9b9708bebd3c456597425547cdb5e4cf848125f1b076c91f6aa5948f8bf36ffc.png"	{"relevant":true,"constructed":true}
59867	1	"59867-inner-demon"	14	[]	5	1635	2	"Gonzalo Ordonez"	8	"내면의 악마"	"이번 턴에 내 영웅이 공격력을 +8 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/57433d589f63097b77b2fe2544b5eadbf49a6743424757b391f5c9246e82cf4f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7529c0f3c1d5b8ba63965793cf4bb1a7a1217f74f7670eafa6ac8bb6f54b1492.png"	"\"나라는 괴물을 감당할 수 있겠어?\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/026d3b08eee22507d83da1f40689b3cd352d0d4ee26d07c041e5b43878d04472.png"	{"relevant":true,"constructed":true}
376	1	"376-inner-fire"	6	[]	5	3	1	"Steve Prescott"	1	"내면의 열정"	"하수인의 공격력을 생명력과 같은 수치로 바꿉니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/28ac7eb11dafa6369beccf595d43e66d0e6327f4817eff65dbc37f6667cf0207.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aea389f3610395a410d1751a977cdcf52578f3237de6e48205a7393e39606ee5.png"	"추천: 하수인 강화하기. 비추: 불모의 땅에서 대화 상대 찾기"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5f2d7477002c28ea0b60538efe3d400be9f3a12be49078bc16452b83cf723d14.png"	{"relevant":true,"constructed":true}
59083	1	"59083-wave-of-apathy"	5	[5,6]	5	1443	1	"Arthur Bozonnet"	1	"냉담한 반응"	"내 다음 턴까지 모든 적 하수인의 공격력을 1로 바꿉니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f03a754ebd0a1b02dd83a8841b85f16ea7d35f2a995545d4692e2e6a44619aab.png"	""	"\"블리자드 신작이 카드 게임이라고?\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e5a2d398681e9a0cb4f78684cb0659a974fbea8dd7e6affba2045cc366c4fd2d.png"	{"relevant":true,"constructed":true}
46450	1	"46450-crushing-walls"	3	[]	5	1004	4	"Trent Kaniuga"	7	"다가오는 벽"	"상대편의 가장 왼쪽과 오른쪽에 있는 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fd152b056843c57f6d1ecfdbc2aa30ba00a0bfb19e6a80a5cd5c4e5ed7c579e9.png"	""	"\"더 최악일 수도 있었어!\" \"더 최악일 수가 있겠냐.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/426e7bef807d53ccb8c70583b7d6779c93d25c395e4eb3a53d23dd18d39330e1.jpg"	{"relevant":true,"constructed":true}
70011	1	"70011-rune-of-the-archmage"	4	[]	5	1626	4	"Arthur Bozonnet"	9	"대마법사의 룬"	"적들에게 마나의 합이 20인 마법사 주문들을 시전합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3fced96daad23e67ed39725de9dbcaaec89d9d17ceed86cc03593e4620c173b9.png"	""	"\"이건 슬롯머신이 아냐! 이걸 만들기 위해 현실의 가닥을 밝혀내고자 수 년동안 혼신을 다 해 복잡한 우주를 파헤쳤지. 어지간한 수재들조차 비전 마력만으로도 벅차한다고. 이 모든 걸 고려한 정당한 평가를 하자면, 이건 <i>마법</i> 슬롯머신이야.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/32bbe4922ab3e47d14ab842bbcdb5b1002873edb564899669f08b7f44c310f76.png"	{"relevant":true,"constructed":true}
65691	1	"65691-man-the-cannons"	10	[]	5	1578	1	"James Ryman"	2	"대포 발사"	"하수인에게 피해를 3 주고 다른 모든 하수인에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fa879fa1b7bd99af7c42f302611122c18c7616246dcf1cd647fb362dfd4dd6c2.png"	""	"이 정도는 되야 물 좀 튄다고 할 수 있죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/435de774c1cf8d7d52524e43c0c7833ea92a6509237c54a45ab29ca3ffd06121.png"	{"relevant":true,"constructed":true}
72807	1	"72807-dun-baldar-bridge"	5	[]	5	1626	3	"J. Paick & K. Turovec"	4	"던 발다르 다리"	"내 하수인이 소환된 후에, 그 하수인에게 +2/+2를 부여합니다. 3턴 동안 지속됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c6213e8d61c767d0a038fd75728d880520f8746654de4eeef6965c6c6c19e2da.png"	""	"하스스톤에는 낙하 피해가 없는 걸 그나마 다행으로 생각하세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c8ee649ede018702d2b20e590bb494b6d5151b1dee6490eff6e3bb73e6900d20.png"	{"relevant":true,"constructed":true}
43505	1	"43505-bring-it-on"	10	[]	5	1001	4	"Mike Azevedo"	2	"덤벼라!"	"방어도를 +10 얻습니다. 상대편 손에 있는 하수인들의 비용이 (2) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e3452844173402108ab9621ba034ef2c6c0b83b18231cb29c7d4e806f1b21a78.png"	""	"\"덤벼라!\" \"언젠가 당신처럼...\" \"언젠가 당신처럼...\" \"내 도움이 필요한가?\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fefc835ae0bc33d1a17254f7e50b46c61b6bafa32665b57b1bdeaeb0727ed4df.png"	{"relevant":true,"constructed":true}
573	1	"573-shiv"	7	[]	5	1635	2	"Alex Garner"	2	"독칼"	"피해를 1 줍니다. 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9bdee69ca2863ff76218387cebf6b3ea5a626f9910c339752a6cbde35459325d.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c9a9222dec1a0ed302f5614ff21eaa8f41e7c20a14fdcffd93c0082f994ebfe0.png"	"알라깔라<b>독칼</b>라미<b>독칼</b>라미띠!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/04732a5e4bfc16190ca7bf5556f5fe049fea3ec31d813dce3817dc9aa6c7c38a.png"	{"relevant":true,"constructed":true}
59038	1	"59038-first-day-of-school"	5	[]	5	1443	1	"L. Lullabi & K. Turovec"	1	"등교 첫날"	"비용이 1인 무작위 하수인 둘을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f3f340661a0789a56dad6aa1d3898a2d906106c1e71a596fcefddfdbc7bbb985.png"	""	"\"책은 서점에서 사고, 물약은 연금술사한테서 사고, 그리고 마법봉은... 봉부상한테서?\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f14f66ddb47488dd4aea29cf2d323622914ba89ad430f2000e40351d4be83afb.png"	{"relevant":true,"constructed":true}
60023	1	"60023-cutting-class"	12	[7,10]	5	1443	1	"L. Lullabi & K. Turovec"	5	"땡땡이치기"	"카드를 2장 뽑습니다. 내 무기의 공격력만큼 비용이 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6b996fea4fd004ddd2e7d3efe5165cb2d57290bf1842e4e63085150ff07ac8f7.png"	""	"허수아비의 이름이 땡땡이라는군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6d0000014c3ca1ca5d7ebbf2883b2e556ae3da212e35ebd69a00f731b785cd1a.png"	{"relevant":true,"constructed":true}
76250	1	"76250-radar-detector"	5	[]	5	1658	4	"Sergey Tsvelykh"	2	"레이더 탐지기"	"내 덱 맨 아래에 있는 카드를 5장 탐지합니다. 그중 기계들을 뽑고 내 덱을 섞어 놓습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e04fa2b3573625728f6c213140c40974b403db8648fc5ca155d7ec6055089832.png"	""	"\"이건 어떻게 쓰는 건지 도통 모르겠어.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4b2068f3694bc62d71c137e42b10f499ab195e8870cfe0f305888876ff38126c.png"	{"relevant":true,"constructed":true}
785	1	"785-execute"	10	[]	5	1635	2	"Dany Orizio"	1	"마무리 일격"	"피해를 받은 적 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/80b79bb1a264ddbe41036a26bcecbccf7accd442ee234c84849fef9a8f3aba3c.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/04903f1fc2769a69d75aee417e3ed12acf0a969c598092cedbd2075463d8f016.png"	"마무리 일격이 가능해지면 전사들은 눈에 핏발을 세운다죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/223ea7ee4697750e151685d72fe127f6d163fd33c5716183ff4dca1f56eb27fe.png"	{"relevant":true,"constructed":true}
1158	1	"1158-preparation"	7	[]	5	3	4	"Clint Langley"	0	"마음가짐"	"이번 턴에 내가 시전하는 다음 주문의 비용이 (2) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/687123575b7343eeec179696132b4d6bc37afb8eeba674b3bed862bcb2ea8b59.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ffa84a0ba189aa9a7b1d0887aef3e743bfbe8da56d2dd30ee0ef8a41b4c29d19.png"	"\"항상 대비하라.\" - 도적 격언"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aab64a817b086f718c7374bc493a22356304eb6ad6af2e2ca5d80d624e32efdb.png"	{"relevant":true,"constructed":true}
63057	1	"63057-refreshing-spring-water"	4	[]	5	1525	1	"Dave Allsop"	5	"맑은 샘물"	"카드를 2장 뽑습니다. 뽑은 주문 1장당 마나 수정을 2개씩 회복합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/66e1fdba19226749fbc033bea811d3106adb2ce003c2cab375d6c1ef804f7249.png"	""	"\"마나\"의 다른 이름은 \"전해질\"입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c878e577bb9e53579db9eb54feb9a6fe778632e0fc21b5de85a0be01ec4d5e2a.png"	{"relevant":true,"constructed":true}
42766	1	"42766-dead-mans-hand"	10	[]	5	1001	4	"L. Lullabi & K. Turovec"	2	"망자의 손패"	"내 손에 있는 카드를 모두 복사하여 내 덱에 섞어 넣습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5fe94adc660e5b3656512109de00550d7004b1f6c98bcfb6250c8101786873d8.png"	""	"나는 라그나로스랑 방어구 제작자 투 페어. 넌 뭐야?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fe298bed4e4196db24fc215a89c67f2c1fa183296e52881bb5ad47216aeeeaa8.png"	{"relevant":true,"constructed":true}
53985	1	"53985-plague-of-murlocs"	8	[]	5	1158	4	"J. Axer"	3	"멀록 역병"	"<b>모든</b> 하수인을 무작위 멀록으로 변신시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b2aa3fffe0f6aac4a5d8baa3dc6f20e65d8c202b896c1d05198300c6849449cc.png"	""	"정말 깜찍하면서도 끔찍하군요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ad4de93dc34b95d5712db90a1f26db793ce554291588cd2060375a3f2a63c081.png"	{"relevant":true,"constructed":true}
3007	1	"3007-everyfin-is-awesome"	8	[]	5	20	3	"Andrius Matijoshius"	7	"모든 것이 멋지다옳"	"내 하수인들에게 +2/+2를 부여합니다. 내 멀록 하나당 비용이 (1)씩 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/19e1021858a674acc3b2213bf5d6c135ed9ff89f315a063ecc822c00748914b4.png"	""	"멀록과 함께라면 모든 것이 멋지다옳!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/296bfc0bc208f076c6b7eb97fd5f9a1f0481e2fb7ecf086e4c0a4a0ffb95e20e.jpg"	{"relevant":true,"constructed":true}
61205	1	"61205-free-admission"	9	[]	5	1466	3	"Zoltan Boros"	3	"무료 입장"	"하수인을 둘 뽑습니다. 두 하수인 모두 악마면, 그 악마들의 비용을 (2) 감소시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/22cf2c730eef473abb65ca0361c6be49ff580ec09af8325fdda3da00fce98594.png"	""	"자, 누가 우리를 보기 전에 빨리 들어가세요! 들켜서 뒷관광 논란이 나면 제가 곤란해집니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/41025104e61f649469022890ac906e8a5e4e6142489bd4ec94be47cbab0136bb.png"	{"relevant":true,"constructed":true}
63027	1	"63027-prides-fury"	2	[]	5	1525	1	"Zoltan Boros"	4	"무리의 분노"	"내 하수인들에게 +1/+3을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1e5db1432ff00a7953beec1caf5a3212f4d1e5b7de3a2e69515330b6377c9756.png"	""	"4일 차: 내가 놈들과 다르다는 걸 슬슬 의심하는 것 같군."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aa3132ece126f15ab6641485947fe0b318774b013543adfd6de8a29b72b59104.png"	{"relevant":true,"constructed":true}
46026	1	"46026-reckless-flurry"	10	[]	5	1004	4	"Arthur Gimaldinov"	3	"무모한 난동"	"방어도를 모두 소모합니다. 소모한만큼 <b>모든</b> 하수인에게 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/111ce55e740a48e7aba0fa34fb3dc68e51a9c1de95323feadc47b18a65a153b6.png"	""	"질풍노도의 삶은 여기까지."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bb10dbf565b5b2a26d5373a3b005a1f50beb2f8f7723ff971b73d741d87face6.jpg"	{"relevant":true,"constructed":true}
41401	1	"41401-iron-hide"	10	[]	5	27	1	"Phil Saunders"	1	"무쇠 살갗"	"방어도를 +5 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/478f4151049048e8b590cb461fd8ef4560aee63551f8cb9a1bb320d4e924ee1f.png"	""	"6주째. 계속해서 머리에서 발끝까지 비늘로 위장하고 있다. 놈들은 내가 공룡이 아니란 걸 아직 모르는 것 같다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/19b8a24e1ad9d084274aa727ae4ee02e0322f863f4946dabc6d659df906ca795.jpg"	{"relevant":true,"constructed":true}
