id	collectible	slug	classId	multiClassIds	spellSchoolId	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage
56501	1	"56501-hand-of-guldan"	9	[]	6	5	1414	1	"Vladimir Kafanov"	6	"굴단의 손"	"이 카드를 내거나 버릴 때, 카드를 3장 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fc18fd184e737fad8a7c1edc6ee6f4f3f5350db5af92588b125d6da416211dbd.png"	""	"해골로도 카드 세 장을 뽑으니까... 이 정도면 어둠의 화신이 아니라 뽑기의 화신이라 해도 과언이 아니겠군요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/43e53e643ab50690e52d90eb8d2d40961469a78b842c80e19fc75c4fa309d919.png"
55276	1	"55276-rolling-fireball"	4	[]	2	5	1347	4	"Rafael Zanchetin"	5	"굴러가는 화염구"	"하수인에게 피해를 8 줍니다. 초과한 피해량만큼 양옆에 있는 하수인 중 하나에게 피해를 줍니다. 피해량이 남으면 추가로 발동합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8cd2de548c1ef047891f6f1b768dc565b825deb57d4bd3c88375fbf81e97441c.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/785e344b8e129bcc1827f05200637267e9600c197d929144c5d49db472b075ce.png"	"왜 직각으로는 굴러가지 않는 거죠?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/096eff1709faaccb248a215725bc9d09da453c8ae63f0265770175c00c30fb7a.png"
52632	1	"52632-forbidden-words"	6	[]	6	5	1130	3	"J. Axer"	0	"금단의 권능"	"마나를 모두 소모합니다. 공격력이 소모한 마나 이하인 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bcb0fffc7c7ff5fe40ea23d16232f537dabb64cc5a22dae7b69ea685f727bcce.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/af2c8f1899d17290698836454871b0c1dbc162aa45e683d8e05b0082ad2f0fa9.png"	"이 권능을 시전하려면 우선 나이를 인증해야 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/37f7a552ccacd678f1d987a895739e96585acd81fac230232d8b24d2c320a0ae.png"
55052	1	"55052-breath-of-dreams"	2	[]	4	5	1347	3	"James Ryman"	2	"꿈 숨결"	"카드를 뽑습니다. 내 손에 용족이 있으면, 빈 마나 수정도 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3424df3569cb1f58355f89599711368c6a30b8473a7447d2b1a5c7ecb843b314.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/da02fa9a5073c41b3917af8a9a89896632975862f28f0702a8fb5d367118cd01.png"	"아침 입냄새는 위상이라고 별반 다르지 않죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8d3b4b5035364545c33a486074703bba339ef5e7426b8216a036029fee83f74f.png"
50012	1	"50012-grim-rally"	9	[]	6	5	1129	3	"Skan Srisuwan"	1	"냉혹한 집결"	"아군 하수인을 처치합니다. 내 하수인들에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9956803691939b9e8775a4239095c85bbbbb020317f92bb3994c6bcc5b6d2301.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e5f0530997343217f5c873b8fad85856d31d16c98c6e1badac96380689b961cb.png"	"\"다 좋은데 말이야, 자네만 없으면 좋겠군.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3042e85a839ea0243f9237f8891fb32b22a00a3c2b4c18ac7cbe7c5b3ec5d5ec.png"
97132	1	"97132-wisdom-of-norgannon"	4	[]	1	5	1858	4	"A.J. Nazzaro"	5	"노르간논의 지혜"	"카드를 2장 뽑습니다. 이번 게임에서 시전한 주문의 속성 하나당 비용이 (1)씩 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4afbc310cde6be3aa0662fe243ac3d506bc817753eaaa5e82da3c3e90c43a250.png"	""	"이제 우리에게 필요한 것은 노르간논의 힘과 용기뿐입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d8b0d26c816bbd8007bff05537cf523461cfb8e07dbb85330da79931795332b1.png"
40615	1	"40615-lunar-visions"	2	[]	1	5	25	4	"Arthur Bozonnet"	5	"달의 계시"	"카드를 2장 뽑습니다. 하수인이면, 비용이 (2) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4aac16c6de3d08366202d7ecbe30d0cd66f951fb957782f4e0074e07105f54d3.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/752a41048ae891f15620b0986e7884e2a1e978cdd3ee0795f18fa5f02a81092a.png"	"달의 계시의 가장 신기한 점은 구경할 채널은 너무나 많은데 정작 볼 건 없다는 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/218f63201385220cd5c6ca8f53a94a5e7ba5c8e6f407878eab934414067eb791.png"
52633	1	"52633-mass-resurrection"	6	[]	5	5	1130	3	"Arthur Bozonnet"	9	"대규모 부활"	"이번 게임에서 죽은 무작위 아군 하수인 셋을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1a55ca01343c4579f3b62e07cdac226516a55d7cc62f103fbce0dd9037851345.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4b68588a71a28c144cd6957dbe366de8032a7ec08df1b564155f216899bfe237.png"	"하나면 좋고, 둘이면 많고, 셋이면 대규모입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4d841d261207c6d25bdf71f2559a6f4e1ecf815458a3cdf74ef14ce7b529b66b.png"
50071	1	"50071-mass-hysteria"	6	[]	6	5	1129	3	"Vladimir Kafanov"	5	"대규모 실성"	"<b>모든</b> 하수인이 무작위 하수인을 공격합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/868e47e7862b2c5814c3af45e7701b3214d1d1a99b74a743f4dd5221a215c968.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/130446acb5c39b7be7c48142477b28c84df15db9b2b944fda79b93b5e5b6a731.png"	"\"아, 어제 샀는데 할인을 왜 오늘 하냐고!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/19678738b7e1f490b396aac5e830a73559face39eec19e8518b180a985ee4053.png"
47152	1	"47152-earthen-might"	8	[]	4	5	1125	3	"Alex Horley Orlandelli"	2	"대지의 힘"	"하수인에게 +2/+2를 부여합니다. 대상이 정령이면, 무작위 정령을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/978bbf7af7c69d9d246a456b72c28919fda558e925d7ac1304513f1bec22b619.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9b05dfbb46bf6b4d5ea9fbbca018406fe8dcf0a3acd9072a7ead101a8dceeada.png"	"왜 대지만 차별하는진 모르겠네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/53d66f1220d7e72794ad00845e1facd4eaf3429a688607424f0813182bdaaac3.png"
51376	1	"51376-lazuls-scheme"	6	[]	6	5	1130	4	"J. Axer"	0	"라줄의 계략"	"내 다음 턴까지 적 하수인의 공격력을 1 감소시킵니다. <i>(내 턴마다 강화됩니다!)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/09d631f0e8d35e4b64d9b6a03bc05be39497640f958a4713f219d98c887ecb70.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ff9b38d0c3eb1c588b5f74777a06a295251996c73bffe06cbc2fbc1b05dba5f7.png"	"\"무슨 꿈을 꾸고 있는 거지? 약한 너의 비명 소리가 들리는구나! 나의 계략에 빠진 게 분명해...\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f5af1f9f538501ecd816ac654796d23729706e13b633b4c7154a72baadce57d9.png"
48198	1	"48198-lunas-pocket-galaxy"	4	[]	1	5	1127	5	"Jakub Kasper"	7	"루나의 휴대용 우주"	"내 덱에 있는 하수인들의 비용을 (1)로 바꿉니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b9e10667ba0a42470fb1def4ac3136751ccefc15f9a4bd8e3be8fce1f8f13c3d.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8d060383ba8c3cdb27f1a45a05fca1366ecce726cd803fac43c663b66936b006.png"	"루나는 선임자가 휴대용 블랙홀을 만든 후에 점성학 부서를 이어받았습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c3be6f23b747bb1f0ec49877c6ac7c752a0ee36be75a212e07c131cc8077f381.png"
52421	1	"52421-witchs-brew"	8	[]	4	5	1130	4	"Jakub Kasper"	2	"마녀의 혼합물"	"생명력을 4 회복시킵니다. 이번 턴에 반복할 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ecf6280ca60d448a64ade5be8b43b056f4457ab29d078b05b409f413c83b98ed.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d6d5efd37b8146177a8de42f14f2a5135b494798f5126b056d88184b490f0158.png"	"원산지는 모르는 게 나을 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f21df34df7ce50fccba0a465c45026dee283e7c212603636ce1ce4ba77acf329.png"
48524	1	"48524-juicy-psychmelon"	2	[]	4	5	1127	4	"Jason Kang"	4	"먹음직스러운 덥석멜론"	"내 덱에서 비용이 7, 8, 9, 10인 하수인을 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1e13efc70dceb5e59687a1e9aab19627021002318148015ead41fb4109c0fcc4.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/168976cc58e9670f87e256ffc2cc1c8dbe3a02233bbffa463f62056ff80b453d.png"	"전혀 먹음직스럽지 않습니다. 그렇다고 생각하게 만들고 있는 거예요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/471b8306733732282505b4df5119841f2439958a19468985e8a6c97f76c11895.png"
98417	1	"98417-reverberations"	9	[4,9]	6	5	1809	3	"Michaela Nienaber"	3	"반향"	"하수인을 복사하여 소환합니다. 그 하수인은 피해를 받은 후에 죽습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/88cdd5c12e35ba87330d0426cd53c42140168f2c566ce0273c430973eb55b7da.png"	""	"공허 속에서 더 시끄럽습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/db0fbd9b98d1843372b95bb271fe683d84c140c83bd2b991ba5ed8cac934ca39.png"
98056	1	"98056-inventors-aura"	5	[]	5	5	1858	1	"Vlad Botos"	2	"발명가의 오라"	"내 기계의 비용이 (1) 감소합니다. 2턴 동안 지속됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8f78d4d99a1df4a47fd60dffa40b9de35240a4131517f8dabab88644a1fa9c42.png"	""	"분명 설명서대로 했는데..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dac8b5c67385237af8b030bb4742decc39938276eb8e4f38b7525bd0c5b78717.png"
54971	1	"54971-lightning-breath"	8	[]	4	5	1347	3	"Zoltan Boros"	3	"번개 숨결"	"하수인에게 피해를 4 줍니다. 내 손에 용족이 있으면, 양옆의 하수인들에게도 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/790ec8f0c3e9881fd74d2ace3eea7ca6e4682b56b681ca5c13f40dfbaa3ae74b.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c3f34ddd5fa7183e1395c047af78f8cad29a5ba843eed77c18de10942e4d41d5.png"	"준비물: 용 한 마리, 털양말 네 짝, 두꺼운 카펫"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a3c3d72760cb196d821dee84baa19059393d33a6c2b97701dda9a90fe93ae45d.png"
97354	1	"97354-flash-of-lightning"	8	[]	4	5	1858	4	"Vladimir Kafanov"	2	"번개의 섬광"	"카드를 뽑습니다. 다음 턴에 내 자연 주문들의 비용이 (1) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3330951f08338b85c7e367f1e104b95abc310ca4345bfb18ace9e0861953365e.png"	""	"번쩍! 으아아아아악!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4642cc2548d6f4a50e0f7fcab77ba8bbd6f4af5149847623bf342a874e4b29f3.png"
52148	1	"52148-mutate"	8	[]	4	5	1130	1	"Andrew Hou"	0	"변형"	"아군 하수인을 비용이 (1) 높은 무작위 하수인으로 변신시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/80c3ce2646be7cabe54ab5b49eb29771d80bfb52b3da6250f7d550f3aeb549bf.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9435ea0738d5adc16f6e925c4d23fdcab8928fa7bf09f3562cc1cfe0c2fa66aa.png"	"원하는 하수인이 나올 확률은 멀록이 날아다닐 확률과 같습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/055571602f695b2cf4e67096186bd7ae5fff20ec95a078fedb99382bbd596843.png"
49081	1	"49081-shooting-star"	4	[]	1	5	1127	1	"Konstantin Turovec"	1	"별불꽃"	"선택한 하수인과 그 양옆의 하수인들에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fedc67d601b16a5adcc51cd6bdb1d9cb81e7f853d19f9c4edd2600fcc3b32c7f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d7d62960466344e60e0dc78db0ea0f9f976c0943a8942c4a81c56a55be0f104.png"	"악마가 들끓는 어딘가에서 본 적이 있는 것 같습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b8ba26cfd1c34c1ee408ed7c9edf51fc420ec01956ad1f5e4ad3623b419f2fef.png"
96627	1	"96627-star-power"	4	[3,4]	1	5	1809	3	"Ursula Dorada"	5	"별의 힘"	"무작위 적 하수인에게 피해를 5 줍니다. 주는 피해를 1 감소시키고 반복합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/58c1907623234f06cc996d5bea15c689c2d40694033bcfc98a41f915874d57b2.png"	""	"별점에 대한 고찰을 담은 곡입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8c5b58f2b6e653e6195006a8a6271697d0effb40a26ab7f535d026abfcde7331.png"
2298	1	"2298-resurrect"	6	[]	5	5	14	3	"Luke Mancini"	2	"부활"	"이번 게임에서 죽은 무작위 아군 하수인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aefca624f59d54b61ebf08b61c86ce561f539c20364930a84da39b4dc577bc08.png"	""	"던전에 들어간 나는 죽은 모험가를 발견했다. 마지막 순간 그는 온 힘을 짜내어, 먼지 덮인 벽에 이승에서 남기고 싶은 마지막 말을 썼던 것 같다. 두 마디였다. \"부활 좀\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8b3a5c81459866a81b3665a60848aca3474993e154ee6581af1b6c815a623e81.png"
57149	1	"57149-unstable-felbolt"	9	[]	7	5	1414	1	"Vlad Botos"	1	"불안정한 지옥 화살"	"적 하수인과 무작위 아군 하수인에게 피해를 3 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/15aae07ec7a1df84b6335ad1c217f462bc3178fbc8796118ac9b2002362544ca.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6459a97219833d6603e13f50b7136e37cbd560172627f5f720d07cf9d58f38c1.png"	"힘에는 대가가 따르는 법입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d5ce71434f7bba2361855f190fe640aef1b9bcc20c015a307991999a8e242e3.png"
54893	1	"54893-rain-of-fire"	9	[]	7	5	1347	1	"Daria Tuzova"	1	"불의 비"	"<b>모든</b> 캐릭터에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/906770ff0d380375d43ffd98bb36849e1b6f6d2e4351cb5a03abf570f113aabb.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/385f0471ac4982b79b19c677d23bcc95518c96ebed5ba9c605b95ce416181174.png"	"하늘이 유황과 불로 단풍이 지면 가을이 왔다는 걸 알 수 있죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cbe6264a46f7515af0961d5dc5b36f6008621db14494bbaecdabfa7fba015601.png"
50122	1	"50122-scorch"	4	[]	2	5	1129	3	"Zoltan Boros"	4	"불태우기"	"하수인에게 피해를 4 줍니다. 내가 이전 턴에 정령을 냈다면, 비용이 (1)이 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bce5c7e0d5d1ac4765d4579138d5bbdef69d43143f228575fb837be27cc91206.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0babad13ea56cc74c33029c976e8fdebf493aeb8271c0372a223faba61ced02b.png"	"불태우기로 뿔 태우는 중"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3c8eedae9e3cd547493a9acd6c92e35c093d14c751572d446caf43f8a2160e63.png"
50002	1	"50002-shriek"	9	[]	6	5	1129	3	"Mauricio Herrera"	1	"비명"	"비용이 가장 낮은 카드를 버립니다. <b>모든</b> 하수인에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2cc47b0c7a8a03362086efa647ad908026a4dd96d3ac6c8107c637625601f2a5.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f8a40388e128f86d91699e74eaa278030f9c106100a0b85120d3351b96054414.png"	"카드가 10장인지 모르고 영웅 능력을 사용했을 때 내는 것."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/78949d9ac13fefcf3ddc1c5097b77388fa88212905f16dea93f82ddf9e75cb61.png"
97355	1	"97355-crash-of-thunder"	8	[]	4	5	1858	1	"Matt Dixon"	5	"빗발치는 천둥"	"모든 적에게 피해를 3 줍니다. 이번 턴에 내가 시전한 자연 주문 하나당 비용이 (1)씩 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a6576b4a08458d18cf4ccc159f9b499ccf71094e5bec1f85be23acfb4a09b4ee.png"	""	"성역에서 번개 법사가 왔나?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b710c791d9086c14f59b29dbe5c6adbae773de21def914eda0aabc5d3e50eff5.png"
50028	1	"50028-flash-of-light"	5	[]	5	5	1129	1	"Zoltan Boros"	2	"빛의 섬광"	"생명력을 4 회복시킵니다. 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c5b1b88b7563c7e4c77805555fe47cbca8fb73fe5235e299e3c36bab76ac0325.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c11d1872bd98a1ded2513f2548de0e996697e8b9127f38277ac7e18cdc5ffc92.png"	"잠깐! 카메라 가지고 들어오시면 안 됩니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6d35ad78f51137d941f51a188f77da4a25eac5c09bffac864199543aadf46d78.png"
90534	1	"90534-lightshow"	4	[]	1	5	1809	3	"Arthur Gimaldinov"	3	"빛줄기 공연"	"적에게 피해를 2씩 주는 광선 두 개를 적들에게 발사합니다. 이번 게임에서 내가 시전한 빛줄기 공연의 수만큼 광선을 더 발사합니다. <i>( 개)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/33dab3eea86b24a02250e9b2f0b38bb3125e21fd896d4a432a24329d354e0ecc.png"	""	"지금부터 레이저 피하기 게임을 시작하겠습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4f9922c11cba85e7274a2bf28b004dd5149d2eb352e93202c75210ba6e243f05.png"
90959	1	"90959-love-everlasting"	6	[]	5	5	1809	5	"Valeria Styajkina"	3	"사랑은 영원해"	"내 턴마다 처음 시전하는 주문의 비용이 (2) 감소합니다. 내 턴에 주문을 시전하지 않을 때까지 지속됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/327a625983b42f143e1e2016b1d0fdcbf6ee819858f9df0a550bda569ce77e43.png"	""	"미화소년은 사로나이트 광산 노예라는 오래된 뮤지컬 그룹의 \"얼마나 감내해야 하는가 (우우 예아)\" 가사를 표절했다는 의혹을 받았습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d6e74946cd5b8257af0199bb934e922f20d5450603dbfb2568f9aa5387ec944c.png"
