id	collectible	slug	classId	multiClassIds	spellSchoolId	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	duels
64394	1	"64394-sigil-of-alacrity"	14	[]	6	5	1578	3	"Hideaki Takamura"	1	"기민함의 인장"	"내 다음 턴이 시작될 때, 카드를 뽑고 그 카드의 비용이 (1) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1e3a3ab89a014177e4bb657c4fe51ce58fe6b36d650c74ad3c0206a994c72684.png"	""	"빨간 불이 보이면 정지. 보라 불이 보이면 악셀 밟아!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0ee29efbef93f9f373c227858e97d83707fc52ba0ea05805e044c1f337cb6f81.png"	{"relevant":true,"constructed":true}
71229	1	"71229-deep-breath"	4	[]	2	5	1626	3	"Jaemin Kim"	5	"깊은 숨결"	"선택한 하수인과 그 양옆의 하수인들에게 피해를 줍니다. <i>(내 손에 있는 다른 주문의 수만큼 강화됩니다.)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/03ba4d4c4f883de191d8635986e62df414f3cb5e37547d485895b74b2eb90489.png"	""	"긴장 풀라 했지!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/22eb825e94cf2d4233602ccb8e932781f5b5424707eaf898e35728697431d70b.png"	{"relevant":true,"constructed":true}
70026	1	"70026-gift-of-the-naaru"	6	[]	5	5	1626	4	"Konstantin Porubov"	1	"나루의 선물"	"모든 캐릭터의 생명력을 3 회복시킵니다. 그래도 피해를 받은 캐릭터가 있다면, 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0a0334ffefb1ea42d9b4c089eb832ad30b496d62eb7d38acbda4619e02bfca51.png"	""	"선물을 받았으니 헌금이라도 내란 말이야!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/16089a23c1697a178b9db94f95ef6b33c5b4fcc5daa9eb715485cb445f6472b7.png"	{"relevant":true,"constructed":true}
43282	1	"43282-barkskin"	2	[]	4	5	1004	1	"Lucas Graciano"	1	"나무 껍질"	"하수인에게 생명력을 +3 부여합니다. 방어도를 +3 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e2b3f89baa7daed6a03fd837d0919a64ca847355eeeba6bd4b756d63a7649c64.png"	""	"아낌없이 주는 나무에게 받았습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b609378b648a55b43ce7a0eabe1b56be9747b0cd3ec8f88a0ce7e6cdba240f74.png"	{"relevant":true,"constructed":true}
64899	1	"64899-touch-of-the-nathrezim"	9	[]	6	5	1578	3	"L. Lullabi & A. Bozonnet"	1	"나스레짐의 손길"	"하수인에게 피해를 2 줍니다. 이 피해로 대상이 죽으면, 내 영웅의 생명력을 3 회복시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/15c1506c651ac93a8c9c2f72ae436bfc37246e2284da5fb87560130897548656.png"	""	"\"네 영혼을 잘 받아가겠다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/22170335164f5ab9b10fad7ec266454b4f1ce182ab20185faf284f6b29653570.png"	{"relevant":true,"constructed":true}
41690	1	"41690-molten-reflection"	4	[]	2	5	27	3	"L. Lullabi & K. Turovec"	4	"녹아내린 환영"	"아군 하수인을 선택합니다. 그 하수인을 복사하여 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/627acc6a423a39a9c400e8d1e6dc9a57d1cd0cbb4f6e2ad159263dbb95e99833.png"	""	"그래, 내가 좀 핫하지!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c8807d828fb3f4dc8d14bbac5fdb7cdcaf4ec1d6fed9f53ec4b6488457ddc701.png"	{"relevant":true,"constructed":true}
77055	1	"77055-impending-catastrophe"	9	[]	6	5	1691	4	"Zoltan Boros"	2	"다가오는 대재앙"	"카드를 뽑습니다. 내 임프의 수만큼 반복합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3a1988cdc61218fb3d131858f9bb11d262bb9e0a63c97c4c33204ac4488f7305.png"	""	"임프가 오면 어떻게 되냐고요? 더 많은 임프가 옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c929b3f2b21c5e48a6c45952a4cf91a280090b87184233ba54bcb358dbc2905c.png"	{"relevant":true,"constructed":true}
467	1	"467-moonfire"	2	[]	1	5	1635	2	"Richard Wright"	0	"달빛섬광"	"피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5e5271060b96ee3b2d246feaa2723f48655efd7e93807f9772d65c1d8b386137.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c1446dc8d74d7c983fc6179ab7f9884a44bfa1a85c2fed4672e981246c71c53f.png"	"\"달빛섬광을 쓰세요. 계속 쓰세요.\" - 조화 드루이드가 되는 법, 제5장, 3절"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/993b0126c310b46a40da2898f9d54cc35e44f60d98e4fb2a6914eccd1d26d452.png"	{"relevant":true,"constructed":true}
39714	1	"39714-moonglade-portal"	2	[]	4	5	23	3	"Evgeniy Zaqumyennyy"	6	"달숲 차원문"	"생명력을 6 회복시킵니다. 비용이 6인 무작위 하수인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2840d4635431d6741b3d8deefbe77cc176a35804ef0c0183d404a8ea604906bc.png"	""	"달숲에서 열리는 파티는 정말 특별하답니다. 이따금씩 곰이 출몰하거든요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e39b4cd9418d3773da1bb4d8bee6e91da192b8438b49472747bdebd4b968ca4e.png"	{"relevant":true,"constructed":true}
46286	1	"46286-cataclysm"	9	[]	2	5	1004	4	"L. Lullabi & K. Turovec"	5	"대격변"	"<b>모든</b> 하수인을 처치하고 내 손에 있는 카드를 2장 버립니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e56fb3e41b35ab38f660ae00e7041b7dca48b9927e8264c97ed3172211548d19.png"	""	"하늘에서 떨어지는 일억 개의 양초! 일억 배 뜨거워요! 도망가세요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/44875fa7b25791acd185af2126507ec9a58c20202f0aeab25c03763808cd50c7.png"	{"relevant":true,"constructed":true}
239	1	"239-rockbiter-weapon"	8	[]	4	5	1635	2	"Alex Horley Orlandelli"	2	"대지의 무기"	"이번 턴에 아군 캐릭터에게 공격력을 +3 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f6e11fc634acb82f0af6577523ca80286dd8fdaf8c74f3f234f79181d1af1ec9.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1e952faf7ba76f2c36e28fcda51fe27f0e1e1ea2b28fb51e7bfd7a3dd7567992.png"	"아아... 크고 아름답네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2b62bcebf63ca087974ae7c9e1521c6ba355541ba6d66f8fae4aea88895ec139.png"	{"relevant":true,"constructed":true}
41081	1	"41081-earthen-scales"	2	[]	4	5	27	3	"Mike Azevedo"	2	"대지의 비늘"	"아군 하수인에게 +1/+1을 부여하고, 그 하수인의 공격력만큼 방어도를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4a5029da825a65a251d0b7e9b781e924cf0c16e261e97812eb545700b628501e.png"	""	"대지의 비늘을 만드는 방법은 간단합니다. 1단계: 흙바닥에 뒹구세요. 2단계: 마법!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a72806bb38e42aa0c45bf9df95bf464bb0a3158e371f9283591e16ac20239789.png"	{"relevant":true,"constructed":true}
84250	1	"84250-ricochet-shot"	3	[]	1	5	1776	1	"Studio Hive "	1	"도탄 사격"	"무작위 적 셋에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d04040c6ab158ae49315f26a19e34e8eaf1c38464455e10c648c1906c459a0ee.png"	""	"쓰리쿠션 실력이 여기서 빛을 볼 줄이야."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1a242897d10a16d8cabd4c92c4aa960cfd6629c8115fff6814c3173dd96b1434.png"	{"relevant":true,"constructed":true}
84289	1	"84289-twisted-tether"	9	[]	6	5	1776	3	"Ramzy Kamen"	4	"뒤틀린 끈"	"하수인을 처치합니다. 그 하수인의 능력치를 내 손에 있는 무작위 언데드에게 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dc905ed7956176d2027c31069b0facb859fd68c2340caa283821ae1fc23c1238.png"	""	"끈을 잘못 묶으면 풀기도 어렵죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c32631da1a2a4655d2d4e43945bd4bc617b3eae7e26e364770351dadeda626f5.png"	{"relevant":true,"constructed":true}
859	1	"859-twisting-nether"	9	[]	6	5	3	4	"Dave Allsop"	8	"뒤틀린 황천"	"<b>모든</b> 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3dd65174f1fab9b0957278d10548065fce81a590d58f7a0ecc171bf2d978c976.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5d9b56a506ab04d8a38cab2be40e7e783bc0dcccebf7efbf7db39977caa50b37.png"	"뒤틀린 황천은 마법과 환상, 죽은 하수인들로 가득한 형태 없는 공간입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/16826fa2cfe5c2a3fed6fb6c2ddf98a51ae9745d134de02bbbcf36d92b3256a5.png"	{"relevant":true,"constructed":true}
79739	1	"79739-clear-conscience"	6	[]	5	5	1691	1	"Arthur Bozonnet"	3	"떳떳한 마음"	"아군 하수인에게 +2/+3과 \"나만이 주문이나 영웅 능력의 대상으로 지정할 수 있음\" 능력을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/970edbf93202a3bdda262cca0308372651c0381f7f7eb773587e494b6948e472.png"	""	"양심에 따라 숨김과 보탬이 없이 버프 그대로를 주고 만일 제대로 주지 않으면 위증의 벌을 받기로 맹세합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2e41bd7b457d5af49e80f9494a6cc98d00ff177399d8ad96c8ad8fecb3049321.png"	{"relevant":true,"constructed":true}
58610	1	"58610-mana-burn"	14	[]	7	5	1463	1	"Hideaki Takamura"	1	"마나 연소"	"상대편이 다음 턴에 획득하는 마나 수정이 2개 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fbbf2570a91b7163005777b03c374590b79dffb1999e1118b20016960823e530.png"	""	"너흰 아직 (마나 수정이) 준비가 안 됐다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/01bd597571edfa3815343637e7c9cfd35613a6c4d498a31aa8f1ab220288f30b.png"	{"relevant":true,"constructed":true}
60067	1	"60067-power-infusion"	6	[]	5	5	1635	2	"Eva Widermann"	4	"마력 주입"	"하수인에게 +2/+6을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/85c6841b0efecc2630992d08d4261dc3643566bf0b574a97283b92c4ec4c8127.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/029f45a7a9d78c6e90b4a73236eed2df6476f57b4f29426dbec445609c8bb2a4.png"	"마력 주입으로 전율하는 젊음을 느껴보세요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e82a89643bf508f46b02a447b63493661be6a33058c28b141ff067188eb6671d.png"	{"relevant":true,"constructed":true}
1099	1	"1099-mind-vision"	6	[]	6	5	1635	2	"Michael Komarck"	1	"마음의 눈"	"상대편 손에 있는 카드를 무작위로 복사하여 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f437f63fe610888bf417bfa24193214e55fcebe3d92386ed2842a942a44eb816.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/336ad403f91b8132a6d9e29274c6fd8e0dc322ee389d9dfc6496fbbf549a47c8.png"	"손이 눈보다 빠를 필요가 없습니다. 이 카드만 있으면요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0275d2d189f314fc1b41c67c27a6d8df701b1fc67033663baa39517a5bb58b19.png"	{"relevant":true,"constructed":true}
84132	1	"84132-animate-dead"	6	[]	6	5	1776	3	"Studio Hive "	1	"망자 되살리기"	"비용이 (3) 이하인 아군 하수인을 부활시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ba745248d5d0db9ff824a9f67e563690a7a33ad0a91adedb261eb20e2d9f454e.png"	""	"옛날에는 망자를 한 뼈 한 뼈 모아 되살리곤 했죠. 지금은 다 전산으로 처리합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ddd0e2860c19e94fdf7cd83aeda15f050613653cedf1c6567ba26524709760cd.png"	{"relevant":true,"constructed":true}
459	1	"459-deadly-poison"	7	[]	4	5	1635	2	"Trevor Jacobs"	1	"맹독"	"내 무기에 공격력을 +2 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d0519d3d29a415217bda0c2cb843ea2d81074c89c788a5eb4b16adb4554d55b7.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b626faf3575889a9fedaddb7f6c291a7280596f5ccb54dff5bbff62df2cdc0be.png"	"도적들의 독 제조술은 극비 사항입니다. 마법사들이 주문에 사용 못 하게 하기 위해서죠. 맹독 화살? 맹독의 비? 맹독 정령? 생각만 해도 끔찍하군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ad339b408ae19096986367d6bbf00aa0ddc0dd52ae8162c88693bcb11aa00723.png"	{"relevant":true,"constructed":true}
1941	1	"1941-echo-of-medivh"	4	[]	1	5	13	4	"Alex Garner"	4	"메디브의 메아리"	"전장의 아군 하수인들을 복사하여 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/581c6223dda1480fde6a7a1fe1f12f4282a24189ab0fd677063ad21d7b1a1344.png"	""	"\"나는 그저 과거의 전설로 남으려 한다아아아아아...\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b2e8565d8632fb7c3e9d67bc6eb34c035babdcc6c28da8dbf50bfae580c5c5e3.png"	{"relevant":true,"constructed":true}
42471	1	"42471-defile"	9	[]	6	5	1001	3	"Dave Allsop"	2	"모독"	"<b>모든</b> 하수인에게 피해를 1 줍니다. 하나라도 죽으면, 이 주문을 한 번 더 시전합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9420ceb14d578944e1d8ea9da9a5294fb011f2ba64df4f6ce426846d0e092e7f.png"	""	"연쇄 소용돌이마라고 들어보셨나요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2805fbb1581c53ed5561cb881dcd86b841cabcf0b1995a5f3312b0884fef203d.png"	{"relevant":true,"constructed":true}
43193	1	"43193-simulacrum"	4	[]	3	5	1001	4	"Raymond Swanland"	3	"모사"	"내 손에 있는 가장 낮은 비용의 하수인을 복사합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1330356725810159d96379ffd9950c307cddc6f1904c7087f40700c3a7480451.png"	""	"데자뷔, 두 번 느껴본 적 있어?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c1ee8b189b67f950ded6313c120888d93e0e62acf53ea1fa07c850d237fa2aa9.png"	{"relevant":true,"constructed":true}
65140	1	"65140-hot-streak"	4	[]	2	5	1578	1	"Konstantin Porubov"	0	"몰아치는 열기"	"이번 턴에 내가 시전하는 다음 화염 주문의 비용이 (2) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/00378a3455dfea83bdcf67fc5980101d57987ce7ea1c10facb63e3c4bc156ed9.png"	""	"한 번 불붙으면 멈추기도 어렵죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7f063cc383ceedfa02c35453865e75be51c46199cd61c00cdad1b4750b38ec3c.png"	{"relevant":true,"constructed":true}
84586	1	"84586-grave-digging"	6	[]	6	5	1776	4	"Jason Kang"	4	"무덤 파기"	"카드를 2장 뽑습니다. 지난 턴 이후에 아군 언데드가 죽었으면, 비용이 (1)이 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1e711eca07bc3a06b0a3e3bfdd86395d9f1a12402ed4c22090bb2e15ef6cf36d.png"	""	"유해 발굴이었다면 응원했겠지만..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fba9319c86c5c51d583e60c151436e0536dfd5fbc3ad9e50f90ed64dda7f9b2e.png"	{"relevant":true,"constructed":true}
72481	1	"72481-whirlpool"	6	[]	4	5	1658	4	"L. Lullabi & K. Turovec"	8	"물회오리"	"<b>모든</b> 하수인을 처치합니다. 그 하수인들과 동일한 <b>모든</b> 하수인을 처치합니다. <i>(어디에 있든)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/40c65ee94751feba55d2844206c936b6a88231f77efd2c5b3b352f2ef3db22f1.png"	""	"반대로 남반구 물회오리는 모든 하수인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ae767ff4e679d27aa082e796fc85bbd19804cec450be375a3f440aa23add0172.png"	{"relevant":true,"constructed":true}
59540	1	"59540-combustion"	4	[]	2	5	1443	4	"L. Lullabi & A. Zemskov"	3	"발화"	"하수인에게 피해를 4 줍니다. 초과한 피해량만큼 양옆의 하수인들에게 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f22074e678bebf59dae29a9806ff97cb115e8441137253fb33d369dc41bc88d7.png"	""	"샐리는 한 줄로 서 있는 은빛 성기사단 신병 셋과 친구다. 이 주문을 시전한 후 남아있는 샐리의 친구 수를 구하시오. (풀이 과정을 상세히 적으시오.)"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2d3910cb1b9bcb8f4e6aaf8387e238c1da1ab08dfbc473e10449433624aa1a3c.png"	{"relevant":true,"constructed":true}
67193	1	"67193-shield-shatter"	10	[]	3	5	1626	3	"L. Lullabi & K. Turovec"	10	"방패 분쇄"	"<b>모든</b> 하수인에게 피해를 5 줍니다. 내 방어도만큼 비용이 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2a0b8aa903e37d6c6936558bc7700d38dc8551c50823d0e79d21484c6778d408.png"	""	"\"방패로 분쇄하는 건가요, 방패가 분쇄되는 건가요?\" \"몰라.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aa4fd62acf4307e96b4f2d58483982ca81e1f78d558582e71fa43e7e361283e9.png"	{"relevant":true,"constructed":true}
