id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	duels
72338	1	"72338-security-automaton"	12	[]	17	4	1658	1	"Matt Dixon"	3	1	2	"경비형 전투로봇"	"내가 기계를 소환한 후에, +1/+1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/17e5a5d9b95103705a99775a1c80b1058de4d32b96a1c1eeda710045191b7b10.png"	""	"경비가 있는데 오히려 더 불안합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d0fc7dac4816a4e1a0d6a806084d054242e44904fa19c9a203c8d4e1b768723c.png"	{"relevant":true,"constructed":true}
60143	1	"60143-ancient-void-hound"	14	[]	15	4	1443	4	"Jaemin Kim"	10	10	9	"고대의 공허 사냥개"	"내 턴이 끝날 때, 모든 적 하수인으로부터 공격력과 생명력을 1씩 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fb194bd02b5236bc7764e0bf0c1d432104e9265d3a71fe3b3b3497dbee6b9995.png"	""	"내 1/1 공허 깜찍이는 어떻게 된 거야?!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8b728b073b2c12c466134487bd567079a7eae35890041b6936d8c4a258f806bc.png"	{"relevant":true,"constructed":true}
2074	1	"2074-junkbot"	12	[]	17	4	13	4	"Zoltan Boros"	5	1	5	"고철로봇"	"아군 기계가 죽을 때마다 +2/+2를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4eaa1ea57a670461d28e9229b1f5aa82a9f3557728743fe1f342d9b06845c067.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ec6d4ecbdc8e049b5cdffc52a2ede922758755d93c734819feacca3c58d66f48.png"	"어떤 로봇의 고철은 다른 로봇을 멋지게 업그레이드하는 데 쓰입니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d83b280096c9722ae4015bf19d50834ab62f26513830b8beb6571f434722edc.png"	{"relevant":true,"constructed":true}
2054	1	"2054-siege-engine"	10	[]	17	4	13	3	"Zero"	5	5	5	"공성 전차"	"내가 방어도를 얻을 때마다 이 하수인이 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e98de522d5c57cb7393f77fde10348ef3155c1c476eda1fa5e62a65fe5a864b5.png"	""	"겨울손아귀 요새의 유일한 약점입니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1980b811d38b3e63db54b56ee423f14dbe867a8889cc1818f0bb525a186a58ce.png"	{"relevant":true,"constructed":true}
1014	1	"1014-wild-pyromancer"	12	[]	11	4	3	3	"Alex Horley Orlandelli"	2	3	2	"광기의 화염술사"	"내가 주문을 시전한 후에, <b>모든</b> 하수인에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0d8a5f3be78b6749db425f72673406bb242618f041067e5803d69e65589899e2.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2da0bc5cc366ee65624fbd3ce02be75c99a3f27f507eef8773093db5882631d2.png"	"한여름엔 왕따, 한겨울엔 인기 폭발인 친구입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d9ae786510c4d3381d60f90164b8b0a366647171bb186f05002a894cfff35ad2.png"	{"relevant":true,"constructed":true}
41176	1	"41176-radiant-elemental"	6	[]	18	4	27	1	"A. J. Nazzaro"	3	2	2	"광명의 정령"	"내 주문의 비용이 (1) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/560178a75eab5c5734aaa5f72cb36f483eaff52672270de338d3ec49876104bb.png"	""	"정령 등불로 만들면 불티나게 팔리겠군요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f68b24812e43b86b59b7a90b7e6cf5488c1ca87f51b71a3dbf38889330c74eba.jpg"	{"relevant":true,"constructed":true}
985	1	"985-dire-wolf-alpha"	12	[]	20	4	3	1	"John Dickenson"	2	2	2	"광포한 늑대 우두머리"	"양옆의 하수인들이 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f15f10ff8a245ad4a7cbf7ee40302e8dfd8998389258f0cb3ab946f21ef45bbf.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/eee1dbbc8ccdb5070cb44dd170deaf78beb4858cf5ec11c21a6f1cd7661e4095.png"	"정작 광포해지는 건 양옆이지만, 어쨌든 먼저 처치해야 할 것 같습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9d588e7b336dc13c9ce468a0dd118d1b01261189b4ad2b046f9b396d4d48f756.png"	{"relevant":true,"constructed":true}
1241	1	"1241-starving-buzzard"	3	[]	20	4	1635	2	"Bernie Kang"	1	2	2	"굶주린 대머리수리"	"내가 야수를 소환할 때마다 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cb22fa14772d7032b333539b2c3e61af36e8835bdfaaccc8f25f66d48652acc5.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/24712e3e675625aaabc265e6cbf1eccc1651a75ffed6cb746a2dac624293a130.png"	"먹을 걸 주면 <i>정체성</i>에 혼란을 겪습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5301851b42d27c9ac14bef6a81c7ec7fa0484c99731045dddc5f0f07aa2e5fe0.png"	{"relevant":true,"constructed":true}
397	1	"397-flesheating-ghoul"	12	[]	11	4	3	1	"Alex Horley Orlandelli"	3	3	3	"굶주린 식인 구울"	"하수인이 죽을 때마다 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/34588aeaef370b9d78272b3d237c21f7973a4d4bcf2b64576700e97d054daddb.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d6627eb05abe97dcd47202bf83d8c21f7bff6855b024298a675d88b0f53a7f33.png"	"먹을 게 없어서 시체를 먹습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/305ac5e6d98b1009641970d5cdd8202778d4de3e973b6b84ef4c711a51d81949.png"	{"relevant":true,"constructed":true}
2040	1	"2040-shadowboxer"	6	[]	17	4	13	3	"Dan Scott"	3	2	2	"권투로봇"	"하수인이 치유될 때마다 무작위 적에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9ddda36b3fb94e4b606efad963456b000dd4e727f6df2a82cad4f10c1a16bc09.png"	""	"주 기능은 주먹질입니다. 보조 기능도 주먹질입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/748b942015b0c24aa83612438c052843ecf4564419fa00c48660f8c881b441fc.png"	{"relevant":true,"constructed":true}
1940	1	"1940-mechwarper"	12	[]	17	4	13	1	"Phil Saunders"	3	2	2	"기계소환로봇"	"내 기계의 비용이 (1) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dc27e18c5d47e2e948a97436acd4b5c622374170f27d29d047bd863e451c49e6.png"	""	"기계를 소환하는 기계라니? 다음은 뭘까요? 도넛을 소환하는 도넛? 흐음..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f9311829dea06b74caa6875a98170d4dbf51f4835e53619eb34566d0b7402741.jpg"	{"relevant":true,"constructed":true}
2039	1	"2039-lost-tallstrider"	12	[]	20	4	13	1	"Ben Zhang"	4	5	4	"길 잃은 타조"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6177558e2c60cb663b7e8c26b9d29cd7bd6d4dbfa6f66ff0473452472fe5a73b.png"	""	"엉덩이에 이런 낙인이 찍혀 있네요. \"찾으시면 멀고어로 데려와 주세요. 사례하겠습니다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9c5f8543a604d4f88ca7ff5cdcc6656396e0371a1f17cc9a95ecfa214b1d9a03.jpg"	{"relevant":true,"constructed":true}
71949	1	"71949-naga-giant"	12	[]	92	4	1658	4	"Ian Ameling"	8	8	20	"나가 거인"	"이번 게임에서 내가 주문에 소모한 마나 하나당 비용이 (1)씩 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/452e0ea3dd56acad82bda23e7a74f010da84110bf1261a8735e35469fec296ab.png"	""	"거수 레슬링 대회에 참여하려면 체격을 더 키워야 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e00c21b8bb0b42be54891ddfd58517f3575a0ebb247dd943e9818610db8090b3.png"	{"relevant":true,"constructed":true}
2910	1	"2910-naga-sea-witch"	12	[]	92	4	20	4	"Ben Zhang"	5	5	8	"나가 바다 마녀"	"내 카드의 비용이 (5)가 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/69eb68aad3c1abe39890d854682fb8c76872489817554d729e8767e4b818dae2.png"	""	"한때 매우 한결같은 카드였습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b3372895d602346f32a48c55334ce8395742c4e22523693c1ddeee3f92b172aa.png"	{"relevant":true,"constructed":true}
336	1	"336-baron-geddon"	12	[]	18	4	3	5	"Ian Ameling"	7	7	7	"남작 게돈"	"내 턴이 끝날 때, 다른 <b>모든</b> 캐릭터에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7f13dacce25aad8ba563331aa27b898e1535c0b869b66e47ef395fd3ca655e11.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/929df2c181b7b4d287525088274157e25644d346e2e6633204e4b56b6d0f7c16.png"	"한때 라그나로스의 충직한 부관이었지만, 지금은 실직자입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2b6f99d4a77a2e83cacb03a8628912c771017f3d8b8f7dcbaafb5305b598ee08.png"	{"relevant":true,"constructed":true}
76985	1	"76985-baroness-vashj"	8	[]	92	4	1691	5	"Zoltan Boros"	6	3	4	"남작 바쉬"	"이 하수인은 다른 하수인으로 변신하지 않고, 대신 그 하수인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/407ae0b4f30d0b9ca1856d820a326c4417cfa71c13ff4be151aca5ab2bb93e8a.png"	""	"바쉬는 원래 \"가라앉은 도시\"에서 등장하기로 예정되어 있었지만, \"황폐한 아웃랜드\"에서 예기치 못한 일을 겪는 바람에 이곳에 오게 되었습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d54d83f3f1f67e2647a433d6b8efcd765f79f7a5622a494519d60073d02da964.png"	{"relevant":true,"constructed":true}
680	1	"680-southsea-captain"	12	[]	23	4	3	4	"Ken Steacy"	3	3	3	"남쪽바다 선장"	"내 다른 해적들이 +1/+1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/681f8e7741ac330a1d0236f5b3167abac1f9ea180f03a606d45146ec99775298.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dde4ce9f41c9d9c15cdaeb78762efb0e2ca29aeb20e439d1c89daa798a66474d.png"	"그의 꿈은 해적 왕... 아니 어마어마하게 큰 해적 모자를 사는 겁니다. 좀 모자에 많이 집착하는 친구거든요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/07b317e744b0f83e8591bd0305346e6ed4caedb07dc47cec377945c049ba3af9.png"	{"relevant":true,"constructed":true}
38517	1	"38517-nerubian-prophet"	12	[]	11	4	21	1	"Lars Grant-West"	4	4	6	"네루비안 예언자"	"내 턴이 시작될 때, 이 카드의 비용이 (1) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b3141f7efd5acdffed1a318d6a4ac6a2c156975f060f9c3870634e22573bc9f2.png"	""	"그분께서 별빛으로 속삭이셨다... 그분은 내 비용을 감소시키겠다고 하셨다..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d331089b804f04f8f993aa163031258b78ed37e3470f286907bf62b543f673a7.png"	{"relevant":true,"constructed":true}
2038	1	"2038-salty-dog"	12	[]	23	4	13	1	"Alex Horley Orlandelli"	4	7	5	"노련한 뱃사람"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/16776083de8037f01646cb3c8e1e3ab6a319b633d0d672c3ab17e6c8f1c46cf0.png"	""	"난 해적왕이 될 남자다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/90102dfaafb8c10370a58f22cb83280a58ddb18586fdebde47fb22bbcbe46330.jpg"	{"relevant":true,"constructed":true}
1658	1	"1658-alarm-o-bot"	12	[]	17	4	3	3	"Sean O’Daniels"	3	0	3	"노움 자동경보기"	"내 턴이 시작될 때, 이 하수인이 내 손에 있는 무작위 하수인과 교체됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6ff49bb3d531871054c548a1f8935ec7a432db97be6acb5f7833f3504a002bdf.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8ea51bc252f56f9f270a19ee033e4fed71de1248e0be6819a7ed84f5faebde97.png"	"삐뽀. 삐뽀. 삐뽀."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/58e70a147792e487d606a720f466648da7342d5f805a02037671e68ad9a045ac.png"	{"relevant":true,"constructed":true}
411	1	"411-nozdormu"	12	[]	24	4	3	5	"James Ryman"	8	8	9	"노즈도르무"	"플레이어들의 턴 제한 시간이 15초로 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d9dfb36680e146f033feb13070656fabbf54fd6f8882b0388b3dfd928e86959b.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/64035d2d3ed6fb831c39c128761158613c941e9eeb7444b092e44bfda0b46ba9.png"	"여기 뭔가 써야 하는데 시간이 모자라네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0b9dc4dd2820e92208be9e7e6ec2203e2ec742c7eb3ee1dff24a9f850821290c.png"	{"relevant":true,"constructed":true}
70244	1	"70244-abominable-lieutenant"	12	[]	11	4	1626	4	"Dave Allsop"	5	3	8	"누더기골렘 부관"	"내 턴이 끝날 때, 무작위 적 하수인을 잡아먹고 그 하수인의 능력치를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/91b30f1975f3e0323a440ecc9848a5f46e8e89665dedf3927edf4f63ae32e57d.png"	""	"끼워주지 않던 친구들을 기워 만들었습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/723d60f794cc109feae35c41a7358979ecf53b6297fca5d6fb3248c7faf509e9.png"	{"relevant":true,"constructed":true}
42338	1	"42338-snowflipper-penguin"	12	[]	20	4	1001	1	"Matt Dixon"	1	1	0	"눈발바닥 펭귄"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7056044cd73856a61944d5423e57d2d90676c8b03f45a5a51c0a673d6728e9d1.png"	""	"육지에선 펭귄 무리를 \"뒤뚱이\"라고 부릅니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/eaa117a931a2d585713aa1ede20f5bc03698c1c7763b6c0945db1bed6855ae10.png"	{"relevant":true,"constructed":true}
61973	1	"61973-moonfang"	12	[]	20	4	1466	5	"Zoltan Boros"	3	6	5	"달송곳니"	"한 번에 받는 피해가 1로 고정됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/360e61787e7d8aa1ac63fcec04f57adffdf41dc9d31b50fa12adc8723557faab.png"	""	"이마에 초승달이 그려진 늑대라니, 어디서 많이 본 것 같은데..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/80c9fe2be116c9153447e4e96a27268ec1187dedbaae240ca79f72a2ba5d8c7c.png"	{"relevant":true,"constructed":true}
72314	1	"72314-anchored-totem"	8	[]	21	4	1658	1	"Studio Hive "	3	0	2	"닻 토템"	"내가 비용이 1인 하수인을 소환한 후에, 그 하수인에게 +2/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8bbaf504aaf0e357cbb5046a50fdc097507b68f788691b8c9c05e20e80850c01.png"	""	"나가들은 해적들이 닻을 내리면 닻을 훼손해 갚아줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/99d64b3d630d511d560c652df907c4c6de87df9a319645f2690aaa56185ee168.png"	{"relevant":true,"constructed":true}
71230	1	"71230-haleh-matron-protectorate"	4	[]	24	4	1626	5	"Mark Zug"	12	4	8	"대섭정 헬레"	"내가 주문을 시전한 후에, 모든 적에게 4의 피해를 무작위로 나누어 입힙니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/026366816d934f3c737839f8951466b89eb14628c4e06cb301ff56f6183807ea.png"	""	"오닉시아 같은 골치는 어떻게 해결하냐고요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/70e91c0b69551c1e9f1ba0dd9a7c37ec0934bc8a31c9a5d86eb8d5958a48485d.png"	{"relevant":true,"constructed":true}
65692	1	"65692-defias-cannoneer"	10	[]	23	4	1578	1	"Matt Dixon"	3	3	3	"데피아즈단 포병"	"내 영웅이 공격한 후에 무작위 적에게 피해를 2 줍니다. 2번 발동합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a73e70e7c9d3cafc4bb8564646801269d9299e4c1c7e156fc4d18309bb7b4ffd.png"	""	"\"... 셋.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2540233e16b5a93b4a954a72bb9d7936dbdaafca6d30f944ae75cefdd2f64bcb.png"	{"relevant":true,"constructed":true}
1861	1	"1861-stoneskin-gargoyle"	12	[]	11	4	12	1	"Matt Smith"	4	1	3	"돌가죽 가고일"	"내 턴이 시작될 때, 이 하수인은 생명력을 모두 회복합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/af21774e267579e6fa294a98b18257ccb08b490c238bef79980d62322c91bbc8.png"	""	"특기: 얼음땡"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/28353c4038e11a8a82ac2be89d5f5ec467501de3b64c321efc173f8f4ac7b726.png"	{"relevant":true,"constructed":true}
43358	1	"43358-cave-hydra"	3	[]	20	4	1004	1	"Peter Stapleton"	4	2	3	"동굴 히드라"	"공격하는 대상 양옆의 하수인들에게도 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/574ea4ee856554a00a24562ba669d97dc3d1ad8365e5f44204a36784598f200f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aacae2c82eacc578bfb88ae0a12b7b222fde4338b83331818d36657216b70f1e.png"	"동굴 가시지옥으로 변태할 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0a63f7d1512de0b53be1d51ea816743d7853f7dccab096e26cbda8f17490baf4.png"	{"relevant":true,"constructed":true}
2068	1	"2068-floating-watcher"	9	[]	15	4	13	1	"Todd Lockwood"	4	4	5	"떠 다니는 감시자"	"내 턴에 내 영웅이 피해를 받을 때마다 +2/+2를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7bf8f3e747e9048a1676515e12c61ea38b8d15ae0588cbfe1c74f7cba548c8ca.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/34cc18ee1a4d5573e2c386f91225c6cb1bf5aca8f276d76024f77013f0fb4227.png"	"본래 이름은 사악한 눈깔 감시자였지만, 좀 과하게 무시무시한 것 같아서 순화했습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f6b3f4f8d494b6734293486da1de110efbf07ce7e73ce9a2ce7f8aa4b2356056.png"	{"relevant":true,"constructed":true}
74886	1	"74886-raj-nazjan"	3	[]	92	4	1658	5	"Jerry Mascho"	3	2	2	"라즈 나즈잔"	"내가 주문을 시전한 후에, 그 주문의 비용만큼 적 영웅에게 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/672454eb8b6467fd96b018711897e8cf1109d43884da7a2e75ff1b55e20f0bc6.png"	""	"동전 한 닢을 사용했다. 하지만 아무런 일도 일어나지 않았다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/10846821d8db52390b7476d7277485d2e3d3734b80d701c3749a4ba22308cae9.png"	{"relevant":true,"constructed":true}
41366	1	"41366-swamp-king-dred"	3	[]	20	4	27	5	"Alex Horley Orlandelli"	9	9	7	"랩터왕 서슬발톱"	"상대편이 하수인을 낸 후에, 그 하수인을 공격합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/034aa0f117c62802e1fcec8f7255e60cce9bbbc6c69476052bc042eae26b6103.png"	""	"먹잇감이 등장하면 곧바로 베어 뭅니다. 한 입만!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9a1bd73d23b08cbe43b3ae0d7c01d76a89a39900f2f12a420ac754470107d2a5.png"	{"relevant":true,"constructed":true}
2045	1	"2045-anima-golem"	9	[]	17	4	13	4	"Josh Harris"	9	9	6	"령 골렘"	"각 턴이 끝날 때, 내 전장에 다른 하수인이 없다면 이 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e1d4d2a5128963e1463c7bb0c1dfefd03d7226d96ac1d35e4da32961d12fe78c.png"	""	"암흑 원령은 사악하고, 신비롭고, 거대하며, 문장 하나도 제대로 완성하지 못하는 최악의 문법 실력을 갖고 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/98273a9a539714125e24ad73ff98f4f7b2aa11b9e36f09b8de275421e3235a15.png"	{"relevant":true,"constructed":true}
