id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds	duels
61884	1	"61884-ring-matron"	9	[]	15	4	1466	1	"James Ryman"	4	6	6	"고리 조련사"	"<b>도발</b>, <b>죽음의 메아리:</b> 3/2 임프를 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/526df20b10aff20afa470d78eea04b6fa5cdaf797fd8aae15ac9d499fcf7bcd2.png"	""	"공연이 끝나면 바로 찬물로 세척한다고 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/719598a122d74ee664dd2f94c0041b20bad56de202bd6a38a78e7a722b8c64b0.png"	[63273]	[1,12]	{"relevant":true,"constructed":true}
38468	1	"38468-mukla-tyrant-of-the-vale"	12	[]	20	4	21	5	"Sam Nielson"	5	5	6	"골짜기의 폭군 무클라"	"<b>전투의 함성:</b> 바나나 2개를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3857e1c9b1c1f3d1cfc5b5696c0c8871af12dc3ffdea4188621555bd89dddc39.png"	""	"아니요, 바나나 안 주셔도 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/67b62b0092fcd5878eab756f941d7659d61fd89833bd812be975909fdbfbefbb.jpg"	[1694]	[8]	{"relevant":true,"constructed":true}
71333	1	"71333-raid-boss-onyxia"	12	[]	24	4	1626	5	"Alex Stone"	8	8	10	"공격대 우두머리 오닉시아"	"<b>속공</b>, 내 전장에 새끼용이 있으면 <b>면역</b> 상태가 됩니다. <b>전투의 함성:</b> <b>속공</b> 능력이 있는 2/1 새끼용을 여섯 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/af407962d424f9694d89b90eb35b05807ab61959a3ddf0e6d2bc3f152fed3373.png"	""	"오닉시아는 필멸자들을 조종하고자 그들처럼 변장했습니다. 진정한 모습은 언제 드러내냐고요? 필멸자들을 위한 마지막 선물로 아껴놓은 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/44a67b7d71265048864eff7123793dc293d93d05e55714ad3ca32a545e756fe1.png"	[71299]	[8,17,53]	{"relevant":true,"constructed":true}
86186	1	"86186-harkener-of-dread"	8	[]	11	4	1776	1	"Alex Stone"	2	2	5	"공포의 경청인"	"<b>도발</b>, <b>죽음의 메아리:</b> <b>도발</b> 능력이 있는 6/6 언데드를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b1d6bc29fcd25e3d354297de9b4254c0b331332dbd7002eda492d2e84d43d3b2.png"	""	"네, 네, 듣고 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/37d438105dd343ea1e7c1e6c11b851be16eab2e25d3ac6888122c5f4c24c1b7f.png"	[90202]	[1,12]	{"relevant":true,"constructed":true}
59192	1	"59192-void-drinker"	9	[]	15	4	1443	4	"Slawomir Maniak"	5	4	5	"공허 흡수자"	"<b>도발</b>, <b>전투의 함성:</b> 내 덱에 있는 영혼 파편을 파괴하고 +3/+3을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d1fac20ffff820e374a22cccf61753d267fd6aedf0320f052bf194fc300bbad4.png"	""	"아무 맛도 나지 않았다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/20df9189d9b2dc802f66051f210430d3d4d9a09680bc178e209877cf9882995e.png"	[59723]	[1,8]	{"relevant":true,"constructed":true}
46056	1	"46056-voidlord"	9	[]	15	4	1004	4	"Jerry Mascho"	9	3	9	"공허군주"	"<b>도발</b>, <b>죽음의 메아리: </b> <b>도발</b> 능력이 있는 1/3 악마를 셋 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9f150ea43f62c3803ad783ac40a0427818a90781ec4da44f38ffa9df6489f782.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d93b96693d80e8c0c431cd0c7da7a1bfde3afeb9a22040261379461368f83aa8.png"	"파괴벽이 있으므로 지폐를 쥐어 주면 안 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b1ce558c6921d391b907d9251d3c12f3a69bd58adccd1c51de2f1c8e756002c2.png"	[48]	[1,12]	{"relevant":true,"constructed":true}
67209	1	"67209-dire-frostwolf"	2	[]	20	4	1626	1	"Anton Zemskov"	4	4	4	"광포한 서리늑대"	"<b>은신</b>, <b>죽음의 메아리:</b> <b>은신</b> 능력이 있는 2/2 늑대를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b7d44ec391d91391849e84ccf52162516f94a2347953fa9b51724f06214fba5c.png"	""	"서리늑대의 공격을 받게 된다면, 침착하게 누운 다음, 몸에 스테이크 소스를 바르십시오. 이상 서리늑대 얼라이언스 안전 위원회에서 알려드립니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/adc37e109c46b48723d360652d01400c205135c6f3cc2dfea1a60d48f36ad633.png"	[72718]	[6,12]	{"relevant":true,"constructed":true}
962	1	"962-the-beast"	12	[]	20	4	3	5	"Glenn Rane"	7	9	6	"괴수"	"<b>죽음의 메아리:</b> 상대편에게 3/3 핍 퀵위트를 소환해 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f9fd9355d8619f6804fb4d612b3095fb45cd0f811f5b06e91a2646bec522f282.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7909a4ccf33b158a35ac9e08aa5ecd75ec177be0a0b601985ad61df9c85734ad.png"	"검은바위 산에 살고, 노움을 먹습니다. 더 할 말이 없네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2055cd46792f15571683f37224e6425a57ccce06d74ed70a40043532c51c47be.png"	[1006]	[12]	{"relevant":true,"constructed":true}
86109	1	"86109-ghoulish-alchemist"	7	[]	11	4	1776	3	"Mooncolony "	2	3	2	"구울 연금술사"	"<b>전투의 함성:</b> 내 다음 혼합물의 비용이 (0)이 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9f3563a4632c5750d7c45fa6d7e57a58a8baf849ab1a1308bdd79f041d2fe8f0.png"	""	"이게 아니야!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c217e5c5b8bf5c0ceaa32047ec45d99fd3e4c60c8fae6433d57b027d926e7b88.png"	[86156,86162,86115,86117,86157,86158,86159,86160,86161,86172,86173,86174,86179,86180,86182,88177,88178,88179,88180,88181]	[8]	{"relevant":true,"constructed":true}
41191	1	"41191-ravenous-pterrordax"	9	[]	20	4	27	1	"Slawomir Maniak"	4	4	4	"굶주린 테러닥스"	"<b>전투의 함성:</b> 아군 하수인을 처치하고, 2번 <b>적응</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f739e8436bb272633781240d410094f6ee26380a317011cf967cec4dfb49ce08.png"	""	"되도록이면 저지방 고섬유질 식품을 먹이세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e23295f44ff721e47cb0cf2bd1f72e7e239b9f43fe4626bd23845e9c611ff00a.jpg"	[41058,41059,41691,41061,41063,41062,41211,41060,41054,41057,41067]	[8,34]	{"relevant":true,"constructed":true}
79552	1	"79552-shadehound"	3	[]	20	4	1691	3	"Patrick Bjorkstrom"	5	6	5	"그늘사냥개"	"이 하수인이 공격할 때마다 내 다른 야수들에게 +2/+2를 부여합니다. <b>주입 (야수 ):</b> <b>속공</b>을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a477eeaeee645d4295cc0be21ea95e79c1f0dcfc4d0caa01a6e2697576c72fad.png"	""	"이 영혼사냥개는 착한 반려견을 넘어 영혼의 동반자였습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2d12ab3d301d6ee213e4042bd782e867a08ba2e16625c43faeb36ca030f637a1.png"	[79542,79593,79554,79545,537,850,764,62320,79595]	[53,238]	{"relevant":true,"constructed":true}
2046	1	"2046-mechanical-yeti"	12	[]	17	4	13	1	"Chris Seaman"	5	4	4	"기계설인"	"<b>죽음의 메아리:</b> 각 플레이어에게 <b>예비 부품</b>을 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/32909241224d4305cbebbcee1ff9c8834cb055a00e9921c952f69ae4ac92931c.png"	""	"서리바람 설인의 야만성과 범용성을 그대로 가져온 친구입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/317422ebb77adcf96c0928d6d89931ec8182cb336c09cd06b6bc7ed507f58ea0.png"	[2150,2151,2156,2153,2155,2154,2152]	[12,19]	{"relevant":true,"constructed":true}
86483	1	"86483-stitched-creation"	7	[]	11	4	1776	3	"Ian Ameling"	1	1	3	"기워 붙인 창조물"	"<b>연계:</b> +2/+2를 얻습니다. <b>주입 ( ):</b> +3/+3을 얻습니다. <b>마나갈증 ( ):</b> +4/+4를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f7cfe55edb5fa21f3e1666b9ce30f5379fd90cbf53bef74a6293d7c6272a5346.png"	""	"스컬지는 시도 때도 없이 찾아오는 모험가들로부터 낙스라마스를 지키고자 사상 초유의 흉물을 만들어냈습니다. 바로 옷을 입은 누더기골렘이었죠!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/037a954cd7bb13c0011717fc348da710755f7c67aff570f5ed09b74a086436f6.png"	[79542,79552,79593,86486,79545,537,850,764,62320,79554,79595]	[13,238,257]	{"relevant":true,"constructed":true}
61963	1	"61963-dreaming-drake"	2	[]	24	4	1466	1	"Mauricio Herrera"	4	3	3	"꿈꾸는 비룡"	"<b>도발</b>, <b>타락:</b> +2/+2를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4b87ee1cd97efd56e913dab06a0a4677c16148b918d2191b6ffad5fcffb40ff9.png"	""	"일부 용들은 아제로스를 정복하는 꿈을 꾸지만, 다른 용들은 그저 5/6이 되길 꿈꿉니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/22dafff722f5c716493373279980bccdc0b2d3b4c89122cd2062b9eab6bd5ef1.png"	[63080]	[1,91]	{"relevant":true,"constructed":true}
66868	1	"66868-ysera-the-dreamer"	12	[]	24	4	1637	5	"Zoltan Boros"	12	4	9	"꿈의 여왕 이세라"	"<b>전투의 함성:</b> 모든 종류의 <b>꿈 카드</b>를 1장씩 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2fd6522f747a4e16be172caeeabbdf42cfb6b981700cc9136e2254d95ed1fb37.png"	""	"서둘러! 무슨 꿈인지 잊어버리기 전에 얼른 적어 놔."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e21f0e85d99ad473dde4eeaac38d926802d5385d1a71b6787928dfe60d633894.png"	[217,808,340,301,489]	[8]	{"relevant":true,"constructed":true}
61674	1	"61674-fleethoof-pearltusk"	12	[]	20	4	1466	1	"Konstantin Turovec"	4	4	5	"날쌘발굽 진주엄니"	"<b>속공</b>, <b>타락:</b> +4/+4를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4153bd4a3fd0e1e223978082bf06a04ddfe1fba48941b3f73f6702fcf12ae368.png"	""	"축제 기간에 만나보실 수 있지만, 어떤 체험을 하게 되실지는 그 누구도 모릅니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/85e6c761dca581204f7b3a34dbf598fd8622db4451c4202ff861129da7b9c9de.png"	[61675]	[53,91]	{"relevant":true,"constructed":true}
85649	1	"85649-nerubian-flyer"	2	[]	11	4	1776	1	"Brian Despain"	3	2	2	"네루비안 비행병"	"<b>전투의 함성:</b> 지난 턴 이후에 아군 언데드가 죽었으면, 2/2 네루비안을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aa5dab0c66279a142a0cc05ddb16485c4734c98b10a09d1f24d3c819575e1a01.png"	""	"언데드 항공은 노스렌드와 인근 지역에서만 운영합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/577096d74be22787833c381b7c2614e1efbdf686f235a081a675c68d5893f863.png"	[85650]	[8]	{"relevant":true,"constructed":true}
38914	1	"38914-nzoths-first-mate"	10	[]	23	4	21	1	"Paul Mafayon"	1	1	1	"느조스의 일등항해사"	"<b>전투의 함성:</b> 1/3 녹슨 갈고리를 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/60e981434331fd68f2a864cd7e07b9707bf78cbd733dac973f75abc7ef771537.png"	""	"그렇다고 느조스가 해적인 것은 아닙니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5ce9dc7b9f7705f1677479c1ce0d5ad3a4c2096ec278802bbcc9ebc0984d025c.jpg"	[38363]	[8]	{"relevant":true,"constructed":true}
61639	1	"61639-darkmoon-dirigible"	12	[]	17	4	1466	1	"Zoltan Boros"	2	3	3	"다크문 비행선"	"<b>천상의 보호막</b> <b>타락:</b> <b>속공</b>을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/09d78512f036eb59ad302148745732f613a9958792b3c1a1c0c34a830bc872b2.png"	""	"\"비행선을 조종하라고요? 그거 어떻게 하는 건데요!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/665b62b426c6669d6339ceb7a74cb36871ee5dd714e47d7f0c0b90d779d05e07.png"	[61638]	[3,53,91]	{"relevant":true,"constructed":true}
71841	1	"71841-gaia-the-techtonic"	4	[]	17	4	1658	5	"Matt Dixon"	7	5	8	"대지로봇 가이아"	"<b>거수 +2</b>, 아군 기계가 공격한 후에, 모든 적에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/68f92270e2f8b4ff80e06f29909b87819dba39b84e0ccef4f57229e39d752093.png"	""	"항상 만일을 대비하는 이니는 자신의 발명품을 지키기 위한 발명품을 만들었습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/593530f570d239f7daf1672c0d33e2671b2d589ffa1111e74fd1eefd2e53df11.png"	[80793,85858]	[231]	{"relevant":true,"constructed":true}
77679	1	"77679-topior-the-shrubbagazzor"	2	[]	24	4	1691	5	"Kleston Marques"	5	5	7	"덤불용 토피어"	"<b>전투의 함성:</b> 이번 게임 동안 내가 자연 주문을 시전한 후에, <b>속공</b> 능력이 있는 3/3 새끼용을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7026264418c8998a10c8b4a00ea391d1541569a7872a3ac1483fd8d473b225c9.png"	""	"용에 생기를 불어넣으려면 한 주에 령 1000리터는 족히 필요합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/462e54b4b76b7c254b05f174d279269cfa89f72d066f6ac16a27880f55331895.png"	[77703]	[8,53]	{"relevant":true,"constructed":true}
41086	1	"41086-elder-longneck"	2	[]	20	4	27	1	"Trent Kaniuga"	1	5	3	"덩치 큰 긴목공룡"	"<b>전투의 함성:</b> 내 손에 공격력이 5 이상인 하수인이 있으면, <b>적응</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8d14e25bdb4bae2bda90d75c9c76a6e35350cb21cc63209c838e77a3ce643872.png"	""	"목이 길어 슬픈 공룡입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6edcfd970bc8b20c3b2a13c7922dd332da21b1b22485b2b48e87aafd4ab21a90.jpg"	[41058,41059,41691,41061,41063,41062,41211,41060,41054,41057,41067]	[8,34]	{"relevant":true,"constructed":true}
63502	1	"63502-deviate-dreadfang"	2	[]	20	4	1525	3	"Mauricio Herrera"	9	4	8	"돌연변이 송곳니천둥매"	"내가 자연 주문을 시전한 후에, <b>속공</b> 능력이 있는 4/2 독사를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6a909076891fd0027d2afcc67386668a7e7c4ab02e1b9d183b2d667da8ca52fc.png"	""	"날개가 생겼지만, 다리는 아직도 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d34a4bb3a0a960227908820e2ec97f63ae487da3104b1ed2871284897af5a67b.png"	[63503]	[53]	{"relevant":true,"constructed":true}
42818	1	"42818-the-lich-king"	12	[]	11	4	1001	5	"Glenn Rane"	8	8	8	"리치 왕"	"<b>도발</b>, 내 턴이 끝날 때, 무작위 <b>리치 왕</b> 카드를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f879d944454fafaee042da20e58811aed1495cf3f7c6a7d38639106265da7bb9.png"	""	"\"분노, 복수, 잔혹함, 공격력 +8. 나는 그 모든 것이다. 선택받은 나의 기사여, 이를 너에게 내리겠다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d1822e028fb79503658a5ac6c395387e45fc619bf7dca57aeb75567623d4fc58.png"	[45384,42590,43120,46194,45387,42587,42586,43012]	[1]	{"relevant":true,"constructed":true}
2003	1	"2003-malorne"	2	[]	20	4	13	5	"Oliver Chipping"	7	9	7	"말로른"	"<b>죽음의 메아리:</b> <b>휴면</b> 상태가 됩니다. 아군 야수가 둘 죽으면 되살아납니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/15796083fc5bff2e86ca02b7a580996d32f522cbb9e888ea81d18278aac37f68.png"	""	"거대한 사슴은 순백색으로, 흡사 달빛과 같은 부드러운 빛을 발산합니다. 그는 당신을 깊은 은빛 여울 같은, 태고의 지혜가 느껴지는 눈으로 응시하고 있으며, 존재하는 것만으로도 차분해지는 오라를 내뿜고 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/94f32b3e90517e9fe910bfb3b671ccb95ffc7c8ba778f6bcd2557bf4a4634a86.png"	[102530]	[12]	{"relevant":true,"constructed":true}
77056	1	"77056-mischievous-imp"	9	[]	15	4	1691	3	"Anton Zemskov"	3	3	4	"말썽쟁이 임프"	"<b>전투의 함성:</b> 이 하수인을 복사하여 소환합니다. <b>주입 ( ):</b> 대신 둘 복사하여 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1d953c64d6ca210017044951f06892e9de6bbdbe611d53869b91ae3a0a7d4cfc.png"	""	"오늘은 무슨 장난을 꾸밀까."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ac4081b3ea15a2fbd996893714395c7638f4afcf009f187d807d5a1d3c2ad52f.png"	[79542,79552,79593,78361,79545,537,850,764,62320,79554,79595]	[8,238]	{"relevant":true,"constructed":true}
38538	1	"38538-bilefin-tidehunter"	12	[]	14	4	21	1	"James Ryman"	1	2	2	"맹독비늘 바다사냥꾼"	"<b>전투의 함성:</b> <b>도발</b> 능력이 있는 1/1 수액을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c0c55d69648b7d6c75030f59d4c7edebbb45a5cf2f674254f5a68d9c1413ba6f.png"	""	"맹독비늘은 생각보다 내구력이 강하답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d802653d4f490b46cbeced5a4432b7d391416df8bcb85b33422cf88b024d2a10.jpg"	[38537]	[1,8]	{"relevant":true,"constructed":true}
976	1	"976-murloc-tidehunter"	12	[]	14	4	1635	2	"Dan Scott"	1	2	2	"멀록 바다사냥꾼"	"<b>전투의 함성:</b> 1/1 멀록 정찰병을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/24cf1e4165fff26bb4c7a3e7d6b26f2b5364eaed4e3dbc9b4fca04ee1c8691b2.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/122d8beee693d6902c789732eb32f00d0982d5f2b3044d307eb37df4ea1f4a3b.png"	"\"파도를 헤치고 죽음이 나타나리니!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5c5f41dac78d339dfb1660b66f065432636fe4d5e159342d3a872383119798a6.png"	[1078]	[8]	{"relevant":true,"constructed":true}
