id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	copyOfCardId
69960	1	"69960-murloc-tidecaller"	12	[]	14	4	1646	3	"Jaemin Kim"	2	1	1	"멀록 파도술사"	"멀록이 소환될 때마다 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/161f5fccf63864469413588e7cedf7c94a31d0f4583bb8c4cb9a1be3eb77415b.png"	""	"함께 있으면, 우린 아무 것도 두려울 게 없었다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1807fbda8c0390c3f6371b32e3111f855a78ff5116e03b241697c2db2e374fff.png"	475
68381	1	"68381-river-crocolisk"	12	[]	20	4	1646	2	"Daren Bader"	3	2	2	"민물악어"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/83f53732caad86de21b4b40730419bf7c63a50ca8167f15a1258a622cd7f6434.png"	""	"\"왼손잡이\" 에드워드 스미스에 의해 명품 가방이 될 뻔한 적이 있다는군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cdbd1fe4bc93af9cd8d891cd386530de0be576fb618445919949fed5c01b4778.png"	1369
68473	1	"68473-flametongue-totem"	8	[]	21	4	1646	2	"Jonathan Ryder"	3	0	2	"불꽃의 토템"	"양옆의 하수인들이 공격력을 +2 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/10270f02ab81c05f3e107295465c9b2031adbd70ab5d0ddec6fd818ba526e2a6.png"	""	"토템 장인들은 본인의 토템에는 가장 희귀한 나무를 사용하곤 합니다. 심지어 무쇠껍질 수호정령으로 만든 토템도 있다는군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f68c805d6573290e58919e0fa4fe1825d0f1decb7520d77a460cdeaa8d843cd9.png"	1008
68397	1	"68397-bloodfen-raptor"	12	[]	20	4	1646	2	"Dan Brereton"	2	3	2	"붉은늪지랩터"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9e11349c727d818408986e04b01d3d2f0b75a06af91a706b655d4ea2aae2474b.png"	""	"\"랩터 30마리를 처치하세요.\" - 헤멧 네싱워리"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3dedca6135d08709c2884e196f901d02a3300fa8f524948eb771c82f47a76a6a.png"	216
102547	1	"102547-acidmaw"	3	[]	20	4	1898	5	"Andrew Hou"	2	4	3	"산성아귀"	"적 하수인이 피해를 받을 때마다 그 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9c3226dca53e226c9f1274c2a3496f6c840162de8fbc441f75cd8524ddc16813.png"	""	"자신의 졸개인 공포비늘과 함께라면 이 거대한 요르문가르는 그 어떤 기사도 상대할 준비가 되어있습니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/23eec5da78fcfe901b5c66c10e162ab49ccea114b4201377f14d4005b32d914b.png"	2633
68470	1	"68470-grimscale-oracle"	12	[]	14	4	1646	2	"Phil Saunders"	1	1	1	"성난비늘 수련사"	"다른 <b>모든</b> 멀록이 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f2a1d27c5b042399eea5ddff3768a1bbe44f0c77ffd3b8adb1cf8fd558a752be.png"	""	"아주 똑똑한 멀록입니다. 그래도 다른 멀록들과 크게 다르지는 않습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f6c61e6fe18f8dba1a78f075c00cea3f2e7a19148d4ed361cb72a93e30802c75.png"	510
106467	1	"106467-small-time-buccaneer"	12	[]	23	4	1898	3	"Paul Mafayon"	2	1	1	"신참 해적단원"	"내 영웅이 무기를 장착하고 있으면 공격력을 +2 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b24f54e22af19409e777a2abc1b82009a9e4e4eedb9524dad4ce0111adb1100d.png"	""	"\"아, 그냥 여가 시간에만 하는 거예요. 주중에는 저도 출근해야 하거든요.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4c281dd69c558318ed75e7ece3b46094aceb5804bf9782c140b5482cd578daae.png"	40608
68407	1	"68407-core-hound"	12	[]	20	4	1646	2	"E. M. Gist"	5	9	7	"심장부 사냥개"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0b3e605259650164f90bf3fbd0e200bf273d54998588323fe2b12419af01db55.png"	""	"심장부 사냥개를 길들이는 것은 불가능합니다. 당신을 잡아먹기 전에 다른 사람을 먹도록 훈련시킬 뿐이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2851d123349018121e1199a50019b08f805edb83f9aa33aefbdc8844bb2705ff.png"	1687
68380	1	"68380-oasis-snapjaw"	12	[]	20	4	1646	2	"Ittoku"	7	2	4	"오아시스 무쇠턱거북"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ca2e3aa310a647999fb95d5abd740232a1ccb49b0ff7b79fbaa446191132d440.png"	""	"장래희망이 오아시스 용거북이라네요. 그런다고 날아다니거나 불을 뿜지도 못할 텐데 말이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0a2f88804768f2519ace37ee79ffeba3eb7a1daa4e6cdfaef2bf73cfa1bd7f90.png"	1370
70087	1	"70087-faerie-dragon"	12	[]	24	4	1646	1	"Samwise"	2	3	2	"요정용"	"주문이나 영웅 능력의 대상으로 지정되지 않습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2f851a8fe95d05c188f90e8e425c6336d9e083d1d31f806eb7bbc15c3275aab0.png"	""	"깜찍합니다. 마법에 면역입니다. 바닥에 쉬를 하지도 않습니다. 정말 완벽한 애완동물 아닌가요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e39ac76d6d08c941155915aa3829d244ffa5d2dfce6da1996729c812069268cf.png"	609
69763	1	"69763-spiteful-smith"	12	[]	11	4	1646	1	"Justin Sweet"	6	4	5	"원한 맺힌 대장장이"	"<b>격노:</b> 내 무기의 공격력이 +2 증가합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a6c404327a1de31070026bc82510827573328f34b8402b3aa53ba229b2aeb2f.png"	""	"칼이 필요하다고요? 재료는 강철 주괴 5개, 대지의 티끌 3개라더군요. 수수료는 이전에 주문한 사람의 피 묻은 머리카락이랍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8f013197f0a5bf78a0fefea2b61a8f7627ca2dfee3f26b0bcd2dbba6bc604dc7.png"	61
102642	1	"102642-tiny-knight-of-evil"	9	[]	15	4	1898	3	"Raymond Swanland"	2	3	2	"작고 사악한 창기사"	"내가 카드를 버릴 때마다 +2/+1를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/67d320d092bbfab81796ba85467831e1d2fbfc91fb1acd28f4775f1d91b60349.png"	""	"크고 사악한 창기사는 너무 식상하잖아요. 그 몸집에 맞는 탈것도 구하기 힘들 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dabcb69a883bd1c4c73141f98244c3114d3927d0808f2fbde1d3c9b92009c24d.png"	2777
69962	1	"69962-scavenging-hyena"	3	[]	20	4	1646	1	"Jim Nelson"	2	2	2	"청소부 하이에나"	"아군 야수가 죽을 때마다 +2/+1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c4eafab16e6123f5847cff09ce446f0f8914d44715cef97c885d0a6b4804c316.png"	""	"하이에나는 코도나 천둥매의 뼈를 선호하긴 하지만, 뭐든 가리지 않고 먹습니다. 심지어 싹양배추까지..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6f6c3b527c5167d999194996cc8044c0bc7fa6675b14c0ea44bbf659ba31f5a9.png"	1281
69848	1	"69848-demolisher"	12	[]	17	4	1646	3	"Raymond Swanland"	4	1	3	"파괴전차"	"내 턴이 시작될 때, 무작위 적에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6b7ba1afbccdbac3ab4d1d9296edeb972b1e163da08460f4047068bd7601e271.png"	""	"모두 나는 탈것을 타고 다니는 지금은 설 곳을 잃은 녀석입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/07c4e02d93d7351cd4954580f4860686a5d713c1d194fdb42df9b0b8bf57ce68.png"	979
102529	1	"102529-addled-grizzly"	2	[]	20	4	1898	3	"Andrew Hou"	3	2	2	"혼란스러운 드루이드"	"내가 야수를 소환한 후에, 그 야수에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8c0882d8126316895a21af983030a20d5ce7a29f54d61a10b3267e22aa542754.png"	""	"곰으로 변신한 채로 너무 오래 있으면 고대 신의 속삭임에 더 쉽게 홀린다고 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/03cc2620e8046086d556aaab08d8ff436038db253cbf0c2c9109cb4d7913ece9.png"	38916
69811	1	"69811-angry-chicken"	12	[]	20	4	1646	3	"Mike Sass"	1	1	1	"화난 닭"	"<b>격노:</b> 공격력 +5"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ef71297a7a15052bf5f6202a38048feed80181935d92c6acfe0516ea4d7f8e68.png"	""	"완전히 격노한 닭보다 무시무시한(또는 황당한) 야수는 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9e29c1530a1443ace74d5a3033544ba37bbbbf6df5d01b3bd72bc73846e19a61.png"	1688
69874	1	"69874-emperor-cobra"	12	[]	20	4	1646	3	"Lars Grant-West"	3	2	3	"황제 코브라"	"이 하수인에게 피해를 입은 하수인은 무조건 죽습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/681d8690876c6d61911cfd9e6d5a78d79f9f54f64d198ba140af7203279b2c41.png"	""	"숄라자르 분지는 정말 위험한 곳입니다. 그래도 갈 생각이 있다면 제충제를 꼭 바르세요. 아, 판금 갑옷도 준비하시고요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f073b6b61da8799770c6c1facdabd7572d1b9635a6a74565f8493bcf5c4dee53.png"	1098
68428	1	"68428-timber-wolf"	3	[]	20	4	1646	2	"Malcolm Davis"	1	1	1	"회갈색 늑대"	"내 다른 야수들이 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e6f3e8e6b2e93f7f6cd4af84b0c0ded9561135d6244f1fa890143f180a3fb6b8.png"	""	"다른 야수들의 사랑을 독차지한답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/16cb028f301afce64f6a96a310aa1aade09dd24c8c129d170c7fb1defe4bf6a6.png"	606
